pop,t,freq_O,freq_Y,freq_B,r_mean,r_O,r_Y,r_B
0,0,0.3573,0.3137,0.329,3.9951,3.9955219703330536,3.9945808096907873,3.9951367781155014
0,1,0.287,0.3579,0.3551,3.9936,3.9940766550522646,3.9946912545403745,3.992114897212053
0,2,0.2997,0.3178,0.3825,3.9887,3.9823156489823157,3.986154814348647,3.9958169934640524
0,3,0.3716,0.2641,0.3643,3.988,3.977664155005382,3.995077622112836,3.9934120230579193
0,4,0.4546,0.2449,0.3005,3.9765,3.9667839859216896,3.9738668844426295,3.9933444259567388
0,5,0.4825,0.2791,0.2384,3.9628,3.9552331606217614,3.9734862056610534,3.9656040268456376
0,6,0.4389,0.3751,0.186,3.9622,3.941672362724994,3.9738736336976808,3.9870967741935486
0,7,0.3684,0.4391,0.1925,3.9622,3.9337676438653637,3.974265543156456,3.9890909090909092
0,8,0.2782,0.4653,0.2565,3.9346,3.913012221423436,3.9264990328820115,3.97270955165692
0,9,0.2229,0.4499,0.3272,3.9635,3.9578286227007626,3.957768392976217,3.975244498777506
0,10,0.2568,0.3587,0.3845,3.9512,3.9742990654205608,3.911625313632562,3.9726918075422626
0,11,0.3213,0.2632,0.4155,3.9755,3.970121381886088,3.9635258358662613,3.9872442839951865
0,12,0.3982,0.2322,0.3696,3.9694,3.969362129583124,3.9453057708871664,3.9845779220779223
0,13,0.4464,0.2674,0.2862,3.9665,3.9607974910394264,3.973448017950636,3.96890286512928
0,14,0.4376,0.3364,0.226,3.9726,3.9860603290676417,3.963733650416171,3.9597345132743365
0,15,0.3577,0.417,0.2253,3.9696,3.979591836734694,3.970503597122302,3.9520639147802927
0,16,0.2711,0.4699,0.259,3.9423,3.952784950202877,3.9427537773994468,3.9305019305019306
0,17,0.2401,0.4375,0.3224,3.9322,3.9512703040399835,3.9328,3.917183622828784
0,18,0.2532,0.3472,0.3996,3.9218,3.9451026856240126,3.910426267281106,3.916916916916917
0,19,0.2948,0.2732,0.432,3.9253,3.943012211668928,3.933382137628111,3.908101851851852
0,20,0.3495,0.2443,0.4062,3.9378,3.9184549356223175,3.9590667212443718,3.9416543574593796
0,21,0.3802,0.2478,0.372,3.9311,3.925039452919516,3.9519774011299433,3.9233870967741935
0,22,0.3812,0.2747,0.3441,3.9145,3.8882476390346277,3.9872588278121586,3.885498401627434
0,23,0.3616,0.3192,0.3192,3.9228,3.9059734513274336,3.9934210526315788,3.8712406015037595
0,24,0.3531,0.3369,0.31,3.9448,3.931180968564146,3.993766696349065,3.9070967741935485
0,25,0.3327,0.3374,0.3299,3.9354,3.9335737902013825,3.970954356846473,3.9008790542588665
0,26,0.3143,0.3284,0.3573,3.9453,3.927139675469297,3.987819732034105,3.922194234536804
0,27,0.3225,0.3175,0.36,3.9462,3.9168992248062016,3.9921259842519685,3.9319444444444445
0,28,0.3425,0.3061,0.3514,3.9299,3.891678832116788,3.974518131329631,3.9282868525896415
0,29,0.325,0.3195,0.3555,3.9354,3.8972307692307693,3.9799687010954616,3.930239099859353
