t,pop,estrategia,frequencia
0,0,O,0.397
0,0,Y,0.2987
0,0,B,0.3043
0,1,O,0.4072
0,1,Y,0.2981
0,1,B,0.2947
0,2,O,0.4024
0,2,Y,0.3017
0,2,B,0.2959
0,3,O,0.4027
0,3,Y,0.2986
0,3,B,0.2987
0,4,O,0.4041
0,4,Y,0.2953
0,4,B,0.3006
0,5,O,0.3999
0,5,Y,0.3052
0,5,B,0.2949
0,6,O,0.3976
0,6,Y,0.302
0,6,B,0.3004
0,7,O,0.3958
0,7,Y,0.3094
0,7,B,0.2948
0,8,O,0.3951
0,8,Y,0.2968
0,8,B,0.3081
0,9,O,0.4001
0,9,Y,0.2938
0,9,B,0.3061
0,10,O,0.4005
0,10,Y,0.2986
0,10,B,0.3009
0,11,O,0.4003
0,11,Y,0.2966
0,11,B,0.3031
0,12,O,0.3958
0,12,Y,0.2994
0,12,B,0.3048
0,13,O,0.3934
0,13,Y,0.3064
0,13,B,0.3002
0,14,O,0.4069
0,14,Y,0.2978
0,14,B,0.2953
0,15,O,0.396
0,15,Y,0.2948
0,15,B,0.3092
0,16,O,0.4128
0,16,Y,0.2912
0,16,B,0.296
0,17,O,0.4007
0,17,Y,0.3017
0,17,B,0.2976
0,18,O,0.4041
0,18,Y,0.2993
0,18,B,0.2966
0,19,O,0.3993
0,19,Y,0.3045
0,19,B,0.2962
0,20,O,0.3994
0,20,Y,0.2964
0,20,B,0.3042
0,21,O,0.3887
0,21,Y,0.3053
0,21,B,0.306
0,22,O,0.3903
0,22,Y,0.3064
0,22,B,0.3033
0,23,O,0.4012
0,23,Y,0.2997
0,23,B,0.2991
0,24,O,0.3996
0,24,Y,0.2983
0,24,B,0.3021
0,25,O,0.3957
0,25,Y,0.299
0,25,B,0.3053
0,26,O,0.4007
0,26,Y,0.2983
0,26,B,0.301
0,27,O,0.4013
0,27,Y,0.2995
0,27,B,0.2992
0,28,O,0.3993
0,28,Y,0.2989
0,28,B,0.3018
0,29,O,0.392
0,29,Y,0.2997
0,29,B,0.3083
0,30,O,0.3966
0,30,Y,0.3021
0,30,B,0.3013
0,31,O,0.3933
0,31,Y,0.3001
0,31,B,0.3066
0,32,O,0.4106
0,32,Y,0.3017
0,32,B,0.2877
0,33,O,0.4025
0,33,Y,0.302
0,33,B,0.2955
0,34,O,0.3974
0,34,Y,0.3021
0,34,B,0.3005
0,35,O,0.3908
0,35,Y,0.3041
0,35,B,0.3051
0,36,O,0.4071
0,36,Y,0.2982
0,36,B,0.2947
0,37,O,0.3983
0,37,Y,0.2941
0,37,B,0.3076
0,38,O,0.4051
0,38,Y,0.2948
0,38,B,0.3001
0,39,O,0.3996
0,39,Y,0.2972
0,39,B,0.3032
0,40,O,0.4016
0,40,Y,0.295
0,40,B,0.3034
0,41,O,0.3991
0,41,Y,0.3041
0,41,B,0.2968
0,42,O,0.4074
0,42,Y,0.2961
0,42,B,0.2965
0,43,O,0.4032
0,43,Y,0.3022
0,43,B,0.2946
0,44,O,0.3965
0,44,Y,0.3002
0,44,B,0.3033
0,45,O,0.4052
0,45,Y,0.2937
0,45,B,0.3011
0,46,O,0.393
0,46,Y,0.2991
0,46,B,0.3079
0,47,O,0.405
0,47,Y,0.293
0,47,B,0.302
0,48,O,0.3925
0,48,Y,0.3051
0,48,B,0.3024
0,49,O,0.3996
0,49,Y,0.3
0,49,B,0.3004
0,50,O,0.4019
0,50,Y,0.3022
0,50,B,0.2959
0,51,O,0.3971
0,51,Y,0.3011
0,51,B,0.3018
0,52,O,0.4077
0,52,Y,0.302
0,52,B,0.2903
0,53,O,0.3926
0,53,Y,0.3099
0,53,B,0.2975
0,54,O,0.3964
0,54,Y,0.2972
0,54,B,0.3064
0,55,O,0.3978
0,55,Y,0.299
0,55,B,0.3032
0,56,O,0.3928
0,56,Y,0.2998
0,56,B,0.3074
0,57,O,0.4022
0,57,Y,0.2975
0,57,B,0.3003
0,58,O,0.3942
0,58,Y,0.3076
0,58,B,0.2982
0,59,O,0.4004
0,59,Y,0.2997
0,59,B,0.2999
0,60,O,0.4001
0,60,Y,0.2984
0,60,B,0.3015
0,61,O,0.3981
0,61,Y,0.2975
0,61,B,0.3044
0,62,O,0.4054
0,62,Y,0.3036
0,62,B,0.291
0,63,O,0.4017
0,63,Y,0.2944
0,63,B,0.3039
0,64,O,0.4049
0,64,Y,0.2981
0,64,B,0.297
0,65,O,0.3969
0,65,Y,0.3112
0,65,B,0.2919
0,66,O,0.39
0,66,Y,0.3052
0,66,B,0.3048
0,67,O,0.4084
0,67,Y,0.2965
0,67,B,0.2951
0,68,O,0.3993
0,68,Y,0.2984
0,68,B,0.3023
0,69,O,0.3991
0,69,Y,0.2896
0,69,B,0.3113
0,70,O,0.3984
0,70,Y,0.3018
0,70,B,0.2998
0,71,O,0.4073
0,71,Y,0.297
0,71,B,0.2957
0,72,O,0.4067
0,72,Y,0.2965
0,72,B,0.2968
0,73,O,0.3955
0,73,Y,0.311
0,73,B,0.2935
0,74,O,0.3861
0,74,Y,0.3095
0,74,B,0.3044
0,75,O,0.4018
0,75,Y,0.2936
0,75,B,0.3046
0,76,O,0.4009
0,76,Y,0.3031
0,76,B,0.296
0,77,O,0.4053
0,77,Y,0.2932
0,77,B,0.3015
0,78,O,0.3949
0,78,Y,0.3022
0,78,B,0.3029
0,79,O,0.3997
0,79,Y,0.3043
0,79,B,0.296
0,80,O,0.4133
0,80,Y,0.3036
0,80,B,0.2831
0,81,O,0.4079
0,81,Y,0.2996
0,81,B,0.2925
0,82,O,0.4054
0,82,Y,0.3023
0,82,B,0.2923
0,83,O,0.3992
0,83,Y,0.297
0,83,B,0.3038
0,84,O,0.3961
0,84,Y,0.2987
0,84,B,0.3052
0,85,O,0.4015
0,85,Y,0.3004
0,85,B,0.2981
0,86,O,0.3999
0,86,Y,0.2965
0,86,B,0.3036
0,87,O,0.408
0,87,Y,0.297
0,87,B,0.295
0,88,O,0.3918
0,88,Y,0.3059
0,88,B,0.3023
0,89,O,0.3994
0,89,Y,0.2973
0,89,B,0.3033
0,90,O,0.4017
0,90,Y,0.3018
0,90,B,0.2965
0,91,O,0.3996
0,91,Y,0.2979
0,91,B,0.3025
0,92,O,0.3943
0,92,Y,0.3015
0,92,B,0.3042
0,93,O,0.4045
0,93,Y,0.3058
0,93,B,0.2897
0,94,O,0.4027
0,94,Y,0.2907
0,94,B,0.3066
0,95,O,0.4085
0,95,Y,0.2929
0,95,B,0.2986
0,96,O,0.3991
0,96,Y,0.2974
0,96,B,0.3035
0,97,O,0.3943
0,97,Y,0.3022
0,97,B,0.3035
0,98,O,0.3908
0,98,Y,0.3017
0,98,B,0.3075
0,99,O,0.4016
0,99,Y,0.2966
0,99,B,0.3018
1,0,O,0.328
1,0,Y,0.4582
1,0,B,0.2138
1,1,O,0.3087
1,1,Y,0.5015
1,1,B,0.1898
1,2,O,0.2991
1,2,Y,0.5
1,2,B,0.2009
1,3,O,0.3107
1,3,Y,0.4795
1,3,B,0.2098
1,4,O,0.3293
1,4,Y,0.4636
1,4,B,0.2071
1,5,O,0.2966
1,5,Y,0.505
1,5,B,0.1984
1,6,O,0.3214
1,6,Y,0.47
1,6,B,0.2086
1,7,O,0.2988
1,7,Y,0.4864
1,7,B,0.2148
1,8,O,0.3431
1,8,Y,0.448
1,8,B,0.2089
1,9,O,0.3292
1,9,Y,0.4686
1,9,B,0.2022
1,10,O,0.3258
1,10,Y,0.4751
1,10,B,0.1991
1,11,O,0.3189
1,11,Y,0.4739
1,11,B,0.2072
1,12,O,0.328
1,12,Y,0.4652
1,12,B,0.2068
1,13,O,0.3198
1,13,Y,0.4779
1,13,B,0.2023
1,14,O,0.3155
1,14,Y,0.5037
1,14,B,0.1808
1,15,O,0.3378
1,15,Y,0.4685
1,15,B,0.1937
1,16,O,0.3086
1,16,Y,0.5038
1,16,B,0.1876
1,17,O,0.3264
1,17,Y,0.4888
1,17,B,0.1848
1,18,O,0.3154
1,18,Y,0.4855
1,18,B,0.1991
1,19,O,0.2976
1,19,Y,0.4955
1,19,B,0.2069
1,20,O,0.329
1,20,Y,0.466
1,20,B,0.205
1,21,O,0.3202
1,21,Y,0.4559
1,21,B,0.2239
1,22,O,0.3171
1,22,Y,0.4664
1,22,B,0.2165
1,23,O,0.3326
1,23,Y,0.4754
1,23,B,0.192
1,24,O,0.3451
1,24,Y,0.4624
1,24,B,0.1925
1,25,O,0.3388
1,25,Y,0.4753
1,25,B,0.1859
1,26,O,0.3436
1,26,Y,0.4665
1,26,B,0.1899
1,27,O,0.3117
1,27,Y,0.4876
1,27,B,0.2007
1,28,O,0.3271
1,28,Y,0.4582
1,28,B,0.2147
1,29,O,0.336
1,29,Y,0.4543
1,29,B,0.2097
1,30,O,0.3339
1,30,Y,0.4702
1,30,B,0.1959
1,31,O,0.3334
1,31,Y,0.4564
1,31,B,0.2102
1,32,O,0.3217
1,32,Y,0.4896
1,32,B,0.1887
1,33,O,0.3092
1,33,Y,0.4957
1,33,B,0.1951
1,34,O,0.3332
1,34,Y,0.4806
1,34,B,0.1862
1,35,O,0.3211
1,35,Y,0.4606
1,35,B,0.2183
1,36,O,0.306
1,36,Y,0.4944
1,36,B,0.1996
1,37,O,0.3381
1,37,Y,0.4598
1,37,B,0.2021
1,38,O,0.3224
1,38,Y,0.4972
1,38,B,0.1804
1,39,O,0.3154
1,39,Y,0.4825
1,39,B,0.2021
1,40,O,0.3257
1,40,Y,0.4819
1,40,B,0.1924
1,41,O,0.2926
1,41,Y,0.4971
1,41,B,0.2103
1,42,O,0.3183
1,42,Y,0.4846
1,42,B,0.1971
1,43,O,0.314
1,43,Y,0.4787
1,43,B,0.2073
1,44,O,0.3271
1,44,Y,0.4547
1,44,B,0.2182
1,45,O,0.33
1,45,Y,0.4805
1,45,B,0.1895
1,46,O,0.3473
1,46,Y,0.459
1,46,B,0.1937
1,47,O,0.3215
1,47,Y,0.4884
1,47,B,0.1901
1,48,O,0.3087
1,48,Y,0.4676
1,48,B,0.2237
1,49,O,0.319
1,49,Y,0.4815
1,49,B,0.1995
1,50,O,0.3078
1,50,Y,0.4917
1,50,B,0.2005
1,51,O,0.3142
1,51,Y,0.4611
1,51,B,0.2247
1,52,O,0.2949
1,52,Y,0.5152
1,52,B,0.1899
1,53,O,0.2992
1,53,Y,0.4957
1,53,B,0.2051
1,54,O,0.3344
1,54,Y,0.4706
1,54,B,0.195
1,55,O,0.313
1,55,Y,0.4828
1,55,B,0.2042
1,56,O,0.3408
1,56,Y,0.4522
1,56,B,0.207
1,57,O,0.3249
1,57,Y,0.4782
1,57,B,0.1969
1,58,O,0.307
1,58,Y,0.4636
1,58,B,0.2294
1,59,O,0.3203
1,59,Y,0.474
1,59,B,0.2057
1,60,O,0.3195
1,60,Y,0.4805
1,60,B,0.2
1,61,O,0.3365
1,61,Y,0.4669
1,61,B,0.1966
1,62,O,0.3042
1,62,Y,0.516
1,62,B,0.1798
1,63,O,0.3285
1,63,Y,0.4747
1,63,B,0.1968
1,64,O,0.3034
1,64,Y,0.4929
1,64,B,0.2037
1,65,O,0.2991
1,65,Y,0.4964
1,65,B,0.2045
1,66,O,0.3289
1,66,Y,0.4591
1,66,B,0.212
1,67,O,0.3107
1,67,Y,0.4972
1,67,B,0.1921
1,68,O,0.3265
1,68,Y,0.482
1,68,B,0.1915
1,69,O,0.3425
1,69,Y,0.4577
1,69,B,0.1998
1,70,O,0.3241
1,70,Y,0.4819
1,70,B,0.194
1,71,O,0.3087
1,71,Y,0.4858
1,71,B,0.2055
1,72,O,0.3207
1,72,Y,0.5029
1,72,B,0.1764
1,73,O,0.2975
1,73,Y,0.4905
1,73,B,0.212
1,74,O,0.297
1,74,Y,0.4705
1,74,B,0.2325
1,75,O,0.3394
1,75,Y,0.4802
1,75,B,0.1804
1,76,O,0.3194
1,76,Y,0.4825
1,76,B,0.1981
1,77,O,0.3187
1,77,Y,0.4795
1,77,B,0.2018
1,78,O,0.3321
1,78,Y,0.4608
1,78,B,0.2071
1,79,O,0.2991
1,79,Y,0.4887
1,79,B,0.2122
1,80,O,0.2756
1,80,Y,0.5367
1,80,B,0.1877
1,81,O,0.3176
1,81,Y,0.4955
1,81,B,0.1869
1,82,O,0.296
1,82,Y,0.5076
1,82,B,0.1964
1,83,O,0.3429
1,83,Y,0.4587
1,83,B,0.1984
1,84,O,0.3198
1,84,Y,0.462
1,84,B,0.2182
1,85,O,0.31
1,85,Y,0.4822
1,85,B,0.2078
1,86,O,0.3318
1,86,Y,0.4621
1,86,B,0.2061
1,87,O,0.3133
1,87,Y,0.4956
1,87,B,0.1911
1,88,O,0.3199
1,88,Y,0.4598
1,88,B,0.2203
1,89,O,0.3329
1,89,Y,0.4682
1,89,B,0.1989
1,90,O,0.3133
1,90,Y,0.4897
1,90,B,0.197
1,91,O,0.33
1,91,Y,0.4724
1,91,B,0.1976
1,92,O,0.3267
1,92,Y,0.4614
1,92,B,0.2119
1,93,O,0.3116
1,93,Y,0.4933
1,93,B,0.1951
1,94,O,0.3564
1,94,Y,0.4567
1,94,B,0.1869
1,95,O,0.3302
1,95,Y,0.4977
1,95,B,0.1721
1,96,O,0.3253
1,96,Y,0.4797
1,96,B,0.195
1,97,O,0.3323
1,97,Y,0.4711
1,97,B,0.1966
1,98,O,0.3311
1,98,Y,0.4499
1,98,B,0.219
1,99,O,0.3183
1,99,Y,0.4823
1,99,B,0.1994
2,0,O,0.2023
2,0,Y,0.4994
2,0,B,0.2983
2,1,O,0.1699
2,1,Y,0.5466
2,1,B,0.2835
2,2,O,0.167
2,2,Y,0.534
2,2,B,0.299
2,3,O,0.1798
2,3,Y,0.5111
2,3,B,0.3091
2,4,O,0.1974
2,4,Y,0.5172
2,4,B,0.2854
2,5,O,0.17
2,5,Y,0.5181
2,5,B,0.3119
2,6,O,0.197
2,6,Y,0.5078
2,6,B,0.2952
2,7,O,0.1839
2,7,Y,0.492
2,7,B,0.3241
2,8,O,0.21
2,8,Y,0.5091
2,8,B,0.2809
2,9,O,0.1909
2,9,Y,0.5281
2,9,B,0.281
2,10,O,0.1728
2,10,Y,0.5406
2,10,B,0.2866
2,11,O,0.2022
2,11,Y,0.5157
2,11,B,0.2821
2,12,O,0.2059
2,12,Y,0.5129
2,12,B,0.2812
2,13,O,0.1949
2,13,Y,0.5027
2,13,B,0.3024
2,14,O,0.1706
2,14,Y,0.5479
2,14,B,0.2815
2,15,O,0.1974
2,15,Y,0.5348
2,15,B,0.2678
2,16,O,0.1693
2,16,Y,0.5447
2,16,B,0.286
2,17,O,0.1807
2,17,Y,0.548
2,17,B,0.2713
2,18,O,0.1905
2,18,Y,0.5371
2,18,B,0.2724
2,19,O,0.1682
2,19,Y,0.5225
2,19,B,0.3093
2,20,O,0.2052
2,20,Y,0.5211
2,20,B,0.2737
2,21,O,0.1946
2,21,Y,0.4903
2,21,B,0.3151
2,22,O,0.1875
2,22,Y,0.5094
2,22,B,0.3031
2,23,O,0.1858
2,23,Y,0.5352
2,23,B,0.279
2,24,O,0.2097
2,24,Y,0.528
2,24,B,0.2623
2,25,O,0.1875
2,25,Y,0.5668
2,25,B,0.2457
2,26,O,0.1929
2,26,Y,0.5452
2,26,B,0.2619
2,27,O,0.1863
2,27,Y,0.522
2,27,B,0.2917
2,28,O,0.2068
2,28,Y,0.5131
2,28,B,0.2801
2,29,O,0.2108
2,29,Y,0.5197
2,29,B,0.2695
2,30,O,0.1918
2,30,Y,0.5253
2,30,B,0.2829
2,31,O,0.2092
2,31,Y,0.499
2,31,B,0.2918
2,32,O,0.1707
2,32,Y,0.5539
2,32,B,0.2754
2,33,O,0.1653
2,33,Y,0.533
2,33,B,0.3017
2,34,O,0.1972
2,34,Y,0.5481
2,34,B,0.2547
2,35,O,0.2132
2,35,Y,0.4913
2,35,B,0.2955
2,36,O,0.1711
2,36,Y,0.5242
2,36,B,0.3047
2,37,O,0.2093
2,37,Y,0.5278
2,37,B,0.2629
2,38,O,0.1677
2,38,Y,0.567
2,38,B,0.2653
2,39,O,0.1912
2,39,Y,0.5149
2,39,B,0.2939
2,40,O,0.1813
2,40,Y,0.5453
2,40,B,0.2734
2,41,O,0.1694
2,41,Y,0.512
2,41,B,0.3186
2,42,O,0.1992
2,42,Y,0.5316
2,42,B,0.2692
2,43,O,0.1927
2,43,Y,0.5121
2,43,B,0.2952
2,44,O,0.2079
2,44,Y,0.4987
2,44,B,0.2934
2,45,O,0.1709
2,45,Y,0.5483
2,45,B,0.2808
2,46,O,0.2034
2,46,Y,0.5365
2,46,B,0.2601
2,47,O,0.1867
2,47,Y,0.5324
2,47,B,0.2809
2,48,O,0.2044
2,48,Y,0.4872
2,48,B,0.3084
2,49,O,0.1811
2,49,Y,0.5298
2,49,B,0.2891
2,50,O,0.1756
2,50,Y,0.5256
2,50,B,0.2988
2,51,O,0.2013
2,51,Y,0.4978
2,51,B,0.3009
2,52,O,0.1598
2,52,Y,0.5479
2,52,B,0.2923
2,53,O,0.1746
2,53,Y,0.5173
2,53,B,0.3081
2,54,O,0.2011
2,54,Y,0.5168
2,54,B,0.2821
2,55,O,0.1845
2,55,Y,0.5333
2,55,B,0.2822
2,56,O,0.2048
2,56,Y,0.5234
2,56,B,0.2718
2,57,O,0.1852
2,57,Y,0.5421
2,57,B,0.2727
2,58,O,0.2155
2,58,Y,0.483
2,58,B,0.3015
2,59,O,0.191
2,59,Y,0.5142
2,59,B,0.2948
2,60,O,0.1789
2,60,Y,0.5305
2,60,B,0.2906
2,61,O,0.1943
