pop,t,freq_O,freq_Y,freq_B,r_mean,r_O,r_Y,r_B
0,-1,0.3331,0.3381,0.3288,4.4823,4.456919843890724,4.496302868973676,4.493613138686132
0,0,0.1928,0.5007,0.3065,7.9951,7.994294605809128,7.994008388256441,7.997389885807504
0,1,0.1282,0.3514,0.5204,7.992,7.985179407176287,7.990324416619237,7.994811683320522
0,2,0.2544,0.1359,0.6097,7.9589,7.938679245283019,7.994849153789551,7.959324257831721
0,3,0.4484,0.0844,0.4672,7.8705,7.974799286351472,7.995260663507109,7.747859589041096
0,4,0.6296,0.1584,0.212,7.9389,7.961880559085134,7.995580808080808,7.8283018867924525
0,5,0.6132,0.3225,0.0643,7.942,7.911937377690802,7.995968992248062,7.95800933125972
0,6,0.3662,0.4959,0.1379,7.9368,7.846805024576734,7.994555353901997,7.968092820884699
0,7,0.1676,0.5199,0.3125,7.9724,7.957040572792363,7.980188497788036,7.96768
0,8,0.0622,0.4162,0.5216,7.9294,7.639871382636656,7.98582412301778,7.918903374233129
0,9,0.0813,0.2251,0.6936,7.9511,7.992619926199262,7.977787649933363,7.937572087658593
0,10,0.154,0.0776,0.7684,7.8658,7.988961038961039,7.984536082474227,7.829125455491932
0,11,0.2583,0.01,0.7317,7.841,7.902051877661634,8.0,7.81727483941506
0,12,0.3863,0.0,0.6137,7.8007,7.9772197773750975,,7.689587746455923
0,13,0.5399,0.0,0.4601,7.7533,7.794591591035377,,7.704846772440773
0,14,0.6808,0.0,0.3192,7.8595,7.933019976498238,,7.7026942355889725
0,15,0.796,0.0,0.204,7.7238,7.750376884422111,,7.620098039215686
0,16,0.8856,0.0,0.1144,7.8144,7.805894308943089,,7.880244755244755
0,17,0.9496,0.0,0.0504,7.7626,7.799283909014322,,7.071428571428571
0,18,0.988,0.0,0.012,7.781,7.780161943319838,,7.85
0,19,1.0,0.0,0.0,7.7008,7.7008,,
0,20,1.0,0.0,0.0,7.7287,7.7287,,
0,21,1.0,0.0,0.0,7.7333,7.7333,,
0,22,1.0,0.0,0.0,7.6603,7.6603,,
0,23,1.0,0.0,0.0,7.7265,7.7265,,
0,24,1.0,0.0,0.0,7.7352,7.7352,,
0,25,1.0,0.0,0.0,7.623,7.623,,
0,26,1.0,0.0,0.0,7.6952,7.6952,,
0,27,1.0,0.0,0.0,7.6246,7.6246,,
0,28,1.0,0.0,0.0,7.6831,7.6831,,
0,29,1.0,0.0,0.0,7.5676,7.5676,,
0,30,1.0,0.0,0.0,7.6793,7.6793,,
0,31,1.0,0.0,0.0,7.7026,7.7026,,
0,32,1.0,0.0,0.0,7.7036,7.7036,,
0,33,1.0,0.0,0.0,7.6509,7.6509,,
0,34,1.0,0.0,0.0,7.7364,7.7364,,
0,35,1.0,0.0,0.0,7.643,7.643,,
0,36,1.0,0.0,0.0,7.6855,7.6855,,
0,37,1.0,0.0,0.0,7.6245,7.6245,,
0,38,1.0,0.0,0.0,7.7381,7.7381,,
0,39,1.0,0.0,0.0,7.6644,7.6644,,
0,40,1.0,0.0,0.0,7.7944,7.7944,,
0,41,1.0,0.0,0.0,7.5734,7.5734,,
0,42,1.0,0.0,0.0,7.7554,7.7554,,
0,43,1.0,0.0,0.0,7.6096,7.6096,,
0,44,1.0,0.0,0.0,7.7654,7.7654,,
0,45,1.0,0.0,0.0,7.6183,7.6183,,
0,46,1.0,0.0,0.0,7.7168,7.7168,,
0,47,1.0,0.0,0.0,7.6298,7.6298,,
0,48,1.0,0.0,0.0,7.6856,7.6856,,
0,49,1.0,0.0,0.0,7.5496,7.5496,,
