pop,t,freq_O,freq_Y,freq_B,r_mean,r_O,r_Y,r_B
0,-1,0.3331,0.3381,0.3288,4.4823,4.456919843890724,4.496302868973676,4.493613138686132
0,0,0.0026,0.9966,0.0008,7.9556,8.0,7.9554485249849485,8.0
0,1,0.0,0.964,0.036,7.972,,7.971058091286307,7.997222222222222
0,2,0.0,0.8776,0.1224,7.989,,7.987807657247037,7.997549019607843
0,3,0.0,0.752,0.248,7.989,,7.988962765957447,7.989112903225807
0,4,0.0,0.601,0.399,7.9344,,7.993677204658902,7.845112781954887
0,5,0.0,0.441,0.559,7.7435,,7.995918367346939,7.544364937388194
0,6,0.0,0.281,0.719,7.5858,,7.994306049822064,7.426147426981919
0,7,0.0,0.1435,0.8565,7.1987,,7.995818815331011,7.065148861646235
0,8,0.0,0.0571,0.9429,7.1294,,7.994746059544658,7.076996500159083
0,9,0.0,0.0153,0.9847,6.5472,,7.993464052287582,6.524728343657967
0,10,0.0,0.0003,0.9997,6.7902,,8.0,6.789836951085325
0,11,0.0,0.0,1.0,6.0975,,,6.0975
0,12,0.0,0.0,1.0,6.3752,,,6.3752
0,13,0.0,0.0,1.0,5.715,,,5.715
0,14,0.0,0.0,1.0,6.2096,,,6.2096
0,15,0.0,0.0,1.0,5.384,,,5.384
0,16,0.0,0.0,1.0,6.4245,,,6.4245
0,17,0.0,0.0,1.0,4.8947,,,4.8947
0,18,0.0,0.0,1.0,6.2593,,,6.2593
0,19,0.0,0.0,1.0,4.5572,,,4.5572
0,20,0.0,0.0,1.0,6.3409,,,6.3409
0,21,0.0,0.0,1.0,4.5081,,,4.5081
0,22,0.0,0.0,1.0,6.4387,,,6.4387
0,23,0.0,0.0,1.0,4.3481,,,4.3481
0,24,0.0,0.0,1.0,6.5788,,,6.5788
0,25,0.0,0.0,1.0,4.1831,,,4.1831
0,26,0.0,0.0,1.0,6.4121,,,6.4121
0,27,0.0,0.0,1.0,3.6861,,,3.6861
0,28,0.0,0.0,1.0,6.0578,,,6.0578
0,29,0.0,0.0,1.0,3.8353,,,3.8353
0,30,0.0,0.0,1.0,6.2891,,,6.2891
0,31,0.0,0.0,1.0,3.6877,,,3.6877
0,32,0.0,0.0,1.0,6.0623,,,6.0623
0,33,0.0,0.0,1.0,3.5097,,,3.5097
0,34,0.0,0.0,1.0,6.5222,,,6.5222
0,35,0.0,0.0,1.0,3.4519,,,3.4519
0,36,0.0,0.0,1.0,6.4015,,,6.4015
0,37,0.0,0.0,1.0,3.5097,,,3.5097
0,38,0.0,0.0,1.0,6.6486,,,6.6486
0,39,0.0,0.0,1.0,3.3963,,,3.3963
0,40,0.0,0.0,1.0,6.4164,,,6.4164
0,41,0.0,0.0,1.0,3.3435,,,3.3435
0,42,0.0,0.0,1.0,6.6701,,,6.6701
0,43,0.0,0.0,1.0,3.3381,,,3.3381
0,44,0.0,0.0,1.0,6.6157,,,6.6157
0,45,0.0,0.0,1.0,3.3705,,,3.3705
0,46,0.0,0.0,1.0,6.8523,,,6.8523
0,47,0.0,0.0,1.0,3.4164,,,3.4164
0,48,0.0,0.0,1.0,6.9099,,,6.9099
0,49,0.0,0.0,1.0,2.9298,,,2.9298
