pop,t,freq_O,freq_Y,freq_B,r_mean,r_O,r_Y,r_B
0,-1,0.3353,0.3258,0.3389,4.4935,4.481658216522517,4.503069367710252,4.496016524048392
0,0,0.1246,0.2561,0.6193,7.7076,7.095505617977528,7.693869582194456,7.836428225415792
0,1,0.3803,0.0514,0.5683,6.0684,4.953720746778859,2.252918287937743,7.159422840049269
0,2,0.6174,0.0741,0.3085,5.5893,5.064787819889861,2.983805668016194,7.26482982171799
0,3,0.6725,0.1516,0.1759,4.7146,4.107657992565056,4.6985488126649075,7.048891415577033
0,4,0.6568,0.2491,0.0941,5.4763,4.670219244823386,6.965877157767965,7.159404888416578
0,5,0.581,0.3788,0.0402,5.3565,3.864543889845095,7.364308342133052,8.0
0,6,0.4259,0.4758,0.0983,5.6518,3.548485559990608,7.049600672551493,7.998982706002034
0,7,0.2843,0.5135,0.2022,6.0704,3.253253605346465,6.871275559883155,7.997527200791295
0,8,0.2286,0.4562,0.3152,6.5889,3.599300087489064,7.148399824638316,7.947335025380711
0,9,0.2365,0.4038,0.3597,6.1158,2.5860465116279068,6.6339772164437845,7.85487906588824
0,10,0.2284,0.3786,0.393,6.4079,2.816987740805604,7.147649234020074,7.782188295165394
0,11,0.2453,0.3371,0.4176,6.0828,2.2030167142274766,6.820231385345595,7.766522988505747
0,12,0.2706,0.2833,0.4461,6.2609,2.1374722838137474,7.794917049064596,7.787939923783905
0,13,0.3336,0.3043,0.3621,5.9191,2.077038369304556,7.9562931317778505,7.746755040044187
0,14,0.318,0.351,0.331,6.0484,2.1037735849056602,7.999715099715099,7.768882175226586
0,15,0.2785,0.3767,0.3448,6.3101,2.0387791741472174,7.999734536766658,7.91415313225058
0,16,0.3104,0.3359,0.3537,6.1354,2.0,7.99910687704674,7.994628216002262
0,17,0.3655,0.3548,0.2797,5.8068,1.9997264021887824,7.999718151071026,8.0
0,18,0.3424,0.4468,0.2108,5.9432,1.9997079439252337,7.994852282900626,8.0
0,19,0.3351,0.4882,0.1767,5.9868,2.0,7.994674313805818,8.0
0,20,0.2265,0.5363,0.2372,6.6407,1.9991169977924945,8.0,7.999578414839798
0,21,0.2139,0.4879,0.2982,6.7132,2.0,7.999795039967206,7.988933601609658
0,22,0.2792,0.329,0.3918,6.3173,2.0,7.979331306990882,7.998213374170495
0,23,0.4429,0.2614,0.2957,5.3314,2.0,7.957153787299158,8.0
0,24,0.4661,0.3654,0.1685,5.2034,2.0,8.0,8.0
0,25,0.347,0.5682,0.0848,5.9179,2.0,7.99982400563182,8.0
0,26,0.1312,0.6616,0.2072,7.2043,2.0,7.987152357920193,8.0
0,27,0.055,0.5053,0.4397,7.6309,2.001818181818182,7.922422323372254,8.0
0,28,0.1538,0.185,0.6612,7.044,2.0,7.820540540540541,8.0
0,29,0.3606,0.0331,0.6063,5.8365,2.000277315585136,8.0,8.0
0,30,0.5405,0.0832,0.3763,4.7575,2.0009250693802034,8.0,8.0
0,31,0.5375,0.2543,0.2082,4.779,2.007441860465116,8.0,8.0
0,32,0.4641,0.3185,0.2174,5.2223,2.0148674854557207,8.0,8.0
0,33,0.3755,0.3142,0.3103,5.75,2.007989347536618,8.0,8.0
0,34,0.3627,0.2717,0.3656,5.8287,2.0137854976564653,7.999631947000368,8.0
0,35,0.3884,0.2819,0.3297,5.672,2.0061791967044282,8.0,8.0
0,36,0.4639,0.2922,0.2439,5.2166,2.0,8.0,8.0
0,37,0.3344,0.474,0.1916,5.9938,2.000598086124402,8.0,8.0
0,38,0.2797,0.4825,0.2378,6.3222,2.001430103682517,8.0,8.0
0,39,0.2804,0.4396,0.28,6.3195,2.007132667617689,8.0,7.999642857142857
0,40,0.2645,0.3715,0.364,6.4135,2.0018903591682418,8.0,8.0
0,41,0.3737,0.3122,0.3141,5.7577,1.9997324056729997,8.0,8.0
0,42,0.4079,0.3451,0.247,5.5525,1.999754841873008,8.0,8.0
0,43,0.3789,0.4221,0.199,5.7265,2.0,7.999763089315328,8.0
0,44,0.3424,0.5065,0.1511,5.9456,2.0,8.0,8.0
0,45,0.2585,0.4907,0.2508,6.4489,2.0,7.999796209496638,8.0
0,46,0.3321,0.363,0.3049,6.0049,2.0,7.993112947658402,8.0
0,47,0.4331,0.3023,0.2646,5.4013,2.0,7.999669202778697,8.0
0,48,0.4153,0.3717,0.213,5.5082,2.0,8.0,8.0
0,49,0.3526,0.4106,0.2368,5.8844,2.000283607487238,7.9997564539698,8.0
