pop,t,freq_O,freq_Y,freq_B,r_mean,r_O,r_Y,r_B
0,-1,0.3331,0.3381,0.3288,4.4823,4.456919843890724,4.496302868973676,4.493613138686132
0,0,0.2568,0.331,0.4122,7.9949,7.992601246105919,7.995770392749245,7.995633187772926
0,1,0.3724,0.2824,0.3452,7.9927,7.993018259935553,7.99256373937677,7.992468134414832
0,2,0.4166,0.3192,0.2642,7.9747,7.99183869419107,7.979949874686716,7.941332323996972
0,3,0.3659,0.3393,0.2948,7.9738,7.992074337250615,7.947244326554672,7.98168249660787
0,4,0.293,0.3593,0.3477,7.9602,7.9959044368600685,7.8964653492902865,7.995973540408398
0,5,0.2289,0.3738,0.3973,7.954,7.994320664045435,7.8855002675227395,7.99521771960735
0,6,0.2149,0.3588,0.4263,7.9781,7.993020009306655,7.989130434782608,7.961294862772696
0,7,0.2898,0.3145,0.3957,7.9598,7.987232574189096,7.945627980922098,7.950972959312611
0,8,0.3599,0.2957,0.3444,7.9626,7.9952764656849125,7.96956374704092,7.922473867595818
0,9,0.3548,0.3736,0.2716,7.9854,7.992671927846674,7.971627408993576,7.994845360824742
0,10,0.3243,0.4275,0.2482,7.9912,7.99290780141844,7.991345029239766,7.988718775181305
0,11,0.2496,0.4145,0.3359,7.9933,7.995993589743589,7.994209891435465,7.990175647514141
0,12,0.2112,0.3524,0.4364,7.9929,7.987689393939394,7.996311010215664,7.992667277726856
0,13,0.2732,0.2866,0.4402,7.9827,7.995241581259151,7.994417306350314,7.967287596547024
0,14,0.3955,0.2078,0.3967,7.9668,7.95929203539823,7.991819056785371,7.961179732795563
0,15,0.483,0.2244,0.2926,7.9637,7.975776397515528,7.994206773618538,7.920369104579631
0,16,0.4981,0.2947,0.2072,7.9586,7.956032925115439,7.985748218527316,7.926158301158301
0,17,0.4895,0.3282,0.1823,7.9816,7.977732379979571,7.994210847044485,7.969281404278662
0,18,0.4051,0.3588,0.2361,7.9924,7.989632189582819,7.995819397993311,7.991952562473529
0,19,0.2821,0.4141,0.3038,7.9947,7.994682736618221,7.994204298478628,7.9953917050691246
1,-1,0.3353,0.3258,0.3389,4.4935,4.481658216522517,4.503069367710252,4.496016524048392
1,0,0.4714,0.2784,0.2502,7.995,7.9953330504879085,7.994971264367816,7.994404476418865
1,1,0.399,0.372,0.229,7.9938,7.993734335839599,7.991935483870968,7.9969432314410485
1,2,0.3046,0.4985,0.1969,7.9908,7.992777413000657,7.988365095285857,7.993905535804977
1,3,0.2344,0.4986,0.267,7.9776,7.989761092150171,7.962093862815885,7.995880149812734
1,4,0.1617,0.418,0.4203,7.9801,7.9523809523809526,7.980622009569378,7.990245063050202
1,5,0.1686,0.302,0.5294,7.9724,7.9644128113879,7.937417218543047,7.9948998866641485
1,6,0.1889,0.2446,0.5665,7.9803,7.959767072525145,7.963205233033524,7.994527802294793
1,7,0.2061,0.1976,0.5963,7.9817,7.937894226103833,7.995445344129554,7.992285762200234
1,8,0.249,0.1998,0.5512,7.9664,7.893574297188755,7.994494494494495,7.989114658925979
1,9,0.2941,0.2299,0.476,7.9549,7.861611696701802,7.993910395824272,7.993697478991597
1,10,0.3742,0.2615,0.3643,7.9446,7.866114377338322,7.993116634799235,7.9903925336261326
1,11,0.3859,0.344,0.2701,7.9494,7.881834672194869,7.98953488372093,7.994816734542762
1,12,0.3168,0.4308,0.2524,7.9708,7.920138888888889,7.994661095636026,7.993660855784469
1,13,0.2504,0.4633,0.2863,7.9653,7.896166134185304,7.98877617094755,7.987775061124695
1,14,0.2328,0.4118,0.3554,7.9487,7.8006872852233675,7.994171928120447,7.992965672481711
1,15,0.2846,0.3548,0.3606,7.9096,7.738229093464511,7.962795941375423,7.992512479201331
1,16,0.3545,0.3261,0.3194,7.8746,7.707757404795487,7.939895737503833,7.993112085159674
1,17,0.3678,0.3766,0.2556,7.8402,7.653616095704187,7.919012214551248,7.992566510172144
1,18,0.3326,0.475,0.1924,7.8621,7.728202044497896,7.901684210526316,7.995841995841996
1,19,0.2664,0.5601,0.1735,7.8857,7.765015015015015,7.908766291733619,7.996541786743516
