pop,t,freq_O,freq_Y,freq_B,r_mean,r_O,r_Y,r_B
0,-1,0.3347,0.33,0.3353,4.4955,4.533014639976098,4.457575757575758,4.4953772740829105
0,0,0.3531,0.3426,0.3043,1.1787,1.1826677994902295,1.1657910099241098,1.1886296418008544
0,1,0.3379,0.3556,0.3065,1.2234,1.1979875702870673,1.201631046119235,1.2766721044045677
0,2,0.3303,0.3517,0.318,1.2489,1.2225249772933697,1.2462325845891384,1.2792452830188679
0,3,0.3229,0.3478,0.3293,1.239,1.1904614431712603,1.2527314548591144,1.2720923170361373
0,4,0.3239,0.338,0.3381,1.2235,1.148502624266749,1.266568047337278,1.2522922212363206
0,5,0.3231,0.3213,0.3556,1.2094,1.1194676570721138,1.2524120759414876,1.2522497187851518
0,6,0.3136,0.3124,0.374,1.1986,1.1033163265306123,1.2576824583866837,1.229144385026738
0,7,0.3208,0.2986,0.3806,1.2004,1.1458852867830425,1.284996651038178,1.1799789805570153
0,8,0.3336,0.2814,0.385,1.2101,1.1801558752997603,1.2722103766879886,1.1906493506493507
0,9,0.3542,0.256,0.3898,1.207,1.199604743083004,1.267578125,1.1739353514622883
0,10,0.3776,0.2467,0.3757,1.2344,1.2311970338983051,1.3279286582894203,1.1762044184189513
0,11,0.3908,0.2513,0.3579,1.2382,1.2308085977482088,1.347791484281735,1.1693210393964795
0,12,0.3857,0.259,0.3553,1.2514,1.2473424941664506,1.3505791505791507,1.183506895581199
0,13,0.3754,0.2794,0.3452,1.2791,1.2783697389451252,1.3332140300644237,1.2360950173812282
0,14,0.3718,0.2858,0.3424,1.2909,1.294782140935987,1.3061581525542336,1.2739485981308412
0,15,0.3861,0.2855,0.3284,1.3028,1.3118363118363119,1.2728546409807355,1.3182095006090133
0,16,0.4023,0.2876,0.3101,1.2879,1.319910514541387,1.243741307371349,1.2873266688165108
0,17,0.4073,0.2893,0.3034,1.3109,1.3051804566658483,1.255789837538887,1.3711272247857613
0,18,0.4139,0.2944,0.2917,1.2998,1.2689055327373762,1.2907608695652173,1.3527596846074734
0,19,0.4284,0.2869,0.2847,1.3316,1.3011204481792717,1.3067270826071802,1.4025289778714436
0,20,0.4241,0.3246,0.2513,1.3217,1.3145484555529356,1.3096118299445472,1.349383207321926
0,21,0.3925,0.3688,0.2387,1.3521,1.3011464968152866,1.3405639913232104,1.453707582739841
0,22,0.3609,0.3993,0.2398,1.338,1.2660016625103907,1.317305284247433,1.4808173477898248
0,23,0.3451,0.4076,0.2473,1.368,1.2836858881483628,1.3098626104023552,1.5814799838253133
0,24,0.3362,0.4068,0.257,1.3181,1.2709696609161214,1.2536873156342183,1.4817120622568094
0,25,0.3179,0.4084,0.2737,1.3194,1.2727272727272727,1.2737512242899118,1.4417245158933139
0,26,0.3192,0.3895,0.2913,1.3308,1.3016917293233083,1.2698331193838255,1.4442155853072434
0,27,0.3152,0.3645,0.3203,1.3254,1.298540609137056,1.2823045267489712,1.4008741804558227
0,28,0.3101,0.3339,0.356,1.3731,1.2911963882618511,1.3483078766097634,1.4676966292134832
0,29,0.3203,0.294,0.3857,1.3491,1.2572588198563845,1.3170068027210884,1.4498314752398238
0,30,0.3479,0.2514,0.4007,1.3366,1.2627191721759126,1.3715194908512331,1.3788370351884203
0,31,0.3694,0.2364,0.3942,1.3424,1.276123443421765,1.498730964467005,1.310755961440893
0,32,0.3795,0.2323,0.3882,1.3401,1.2832674571805007,1.5738269479121825,1.2557959814528594
0,33,0.3806,0.2327,0.3867,1.3046,1.3121387283236994,1.4598195100988398,1.2037755365916731
0,34,0.3725,0.2598,0.3677,1.3459,1.3691275167785235,1.4476520400307928,1.2504759314658689
0,35,0.3679,0.2775,0.3546,1.3407,1.363685784180484,1.4587387387387387,1.2244782853919909
0,36,0.3426,0.3068,0.3506,1.3115,1.3365440747227086,1.429921773142112,1.1833998859098689
0,37,0.3172,0.3175,0.3653,1.2947,1.376733921815889,1.3499212598425196,1.175472214618122
0,38,0.3056,0.3328,0.3616,1.3039,1.4162303664921465,1.3341346153846154,1.1811393805309736
0,39,0.2956,0.3405,0.3639,1.2711,1.38531799729364,1.2431718061674009,1.2044517724649628
0,40,0.2995,0.3339,0.3666,1.297,1.4373956594323873,1.2312069481880803,1.2422258592471358
0,41,0.309,0.3444,0.3466,1.2986,1.4699029126213592,1.2227061556329848,1.2212925562608195
0,42,0.3169,0.3581,0.325,1.2952,1.4241085515935625,1.2275900586428372,1.244
0,43,0.3335,0.363,0.3035,1.3121,1.424887556221889,1.2451790633608815,1.2682042833607907
0,44,0.3482,0.3711,0.2807,1.3104,1.3943136128661688,1.231473996227432,1.310651941574635
0,45,0.3387,0.3902,0.2711,1.3356,1.3672866843814586,1.2721681189133778,1.3873109553670233
0,46,0.3249,0.3938,0.2813,1.3311,1.3471837488457987,1.255459624174708,1.4184145040881622
0,47,0.3301,0.3813,0.2886,1.3156,1.3074825810360498,1.2237083661159192,1.4462924462924462
0,48,0.339,0.3681,0.2929,1.2906,1.2182890855457227,1.2583537082314589,1.4148173438033458
0,49,0.3496,0.3456,0.3048,1.2669,1.1899313501144164,1.2294560185185186,1.3976377952755905
0,50,0.3978,0.3182,0.284,1.2705,1.2347913524384113,1.1785040854808297,1.4235915492957747
0,51,0.4287,0.3049,0.2664,1.2536,1.2003732213669231,1.1623483109216137,1.4436936936936937
0,52,0.4449,0.311,0.2441,1.2652,1.200944032366824,1.2372990353697748,1.4178615321589512
0,53,0.434,0.3318,0.2342,1.2673,1.1898617511520737,1.2869198312236287,1.383005977796755
0,54,0.4037,0.355,0.2413,1.2606,1.142184790686153,1.3245070422535212,1.3646912556983009
0,55,0.3752,0.3663,0.2585,1.2495,1.1007462686567164,1.3699153699153699,1.2947775628626692
0,56,0.3444,0.3744,0.2812,1.2546,1.1126596980255516,1.3696581196581197,1.27524893314367
0,57,0.3136,0.3659,0.3205,1.2598,1.1371173469387754,1.3552883301448484,1.270826833073323
0,58,0.3005,0.3368,0.3627,1.2408,1.1620632279534109,1.280581947743468,1.2690929142542047
0,59,0.3022,0.309,0.3888,1.264,1.1939113170086035,1.3122977346278317,1.2800925925925926
0,60,0.3104,0.2992,0.3904,1.2648,1.2358247422680413,1.331216577540107,1.236936475409836
0,61,0.3109,0.3183,0.3708,1.2526,1.2631071083949823,1.349670122525919,1.1604638619201726
0,62,0.2834,0.3556,0.361,1.2827,1.2875793930839803,1.3689538807649044,1.1939058171745152
0,63,0.2695,0.3816,0.3489,1.2803,1.3510204081632653,1.3092243186582808,1.1940384064201777
0,64,0.2707,0.3955,0.3338,1.2874,1.3731067602512006,1.2935524652338812,1.2106051527860995
0,65,0.269,0.3923,0.3387,1.2801,1.3780669144981412,1.262554167728779,1.2226158842633599
0,66,0.2763,0.3755,0.3482,1.2703,1.360839667028592,1.2314247669773635,1.2403790924755886
0,67,0.2955,0.3477,0.3568,1.282,1.3959390862944163,1.1998849582973827,1.2676569506726458
0,68,0.301,0.3512,0.3478,1.2525,1.3146179401993356,1.222380410022779,1.229154686601495
0,69,0.2991,0.3515,0.3494,1.2947,1.3480441323971917,1.2660028449502134,1.2779049799656554
0,70,0.3063,0.3388,0.3549,1.3004,1.367613450865165,1.2635773317591499,1.2775429698506622
0,71,0.3175,0.3362,0.3463,1.3266,1.4188976377952756,1.2760261748958952,1.2910771007796709
0,72,0.3222,0.3376,0.3402,1.3099,1.371818746120422,1.264218009478673,1.2965902410346855
0,73,0.3227,0.3363,0.341,1.2966,1.3368453672141307,1.2465060957478442,1.3079178885630498
0,74,0.3317,0.3183,0.35,1.3058,1.3210732589689478,1.2026390197926484,1.3851428571428572
0,75,0.3513,0.3176,0.3311,1.2884,1.2795331625391404,1.225125944584383,1.3585019631531259
0,76,0.3818,0.3183,0.2999,1.2819,1.2996333158721844,1.235626767200754,1.3084361453817939
0,77,0.3897,0.3301,0.2802,1.2707,1.2530151398511675,1.235383217206907,1.3369022127052106
0,78,0.3858,0.3323,0.2819,1.2438,1.1936236391912909,1.2440565753836894,1.3121674352607307
0,79,0.3777,0.3271,0.2952,1.2581,1.197246491924808,1.2788138184041578,1.3130081300813008
0,80,0.3729,0.3113,0.3158,1.2699,1.2303566639849826,1.2968197879858658,1.2900569981000634
0,81,0.3793,0.294,0.3267,1.3049,1.291326127076193,1.335374149659864,1.293235384144475
0,82,0.4038,0.2752,0.321,1.2967,1.3088162456661714,1.308139534883721,1.2716510903426792
0,83,0.4166,0.2775,0.3059,1.3017,1.3110897743638983,1.329009009009009,1.2641386073880354
0,84,0.4152,0.2944,0.2904,1.3005,1.2952793834296725,1.377717391304348,1.2296831955922864
0,85,0.4009,0.3104,0.2887,1.341,1.3394861561486655,1.3885309278350515,1.2919986144786977
0,86,0.3843,0.327,0.2887,1.3075,1.2966432474629197,1.348012232415902,1.2760651195012123
0,87,0.3794,0.3333,0.2873,1.3182,1.3231418028466,1.312931293129313,1.317786286112078
0,88,0.3859,0.343,0.2711,1.3542,1.337133972531744,1.3580174927113702,1.3736628550350425
0,89,0.39,0.3441,0.2659,1.3393,1.3117948717948718,1.3281022958442312,1.3941331327566755
0,90,0.4042,0.3344,0.2614,1.3468,1.284760019792182,1.3444976076555024,1.4456771231828616
0,91,0.4026,0.3294,0.268,1.3136,1.2337307501241928,1.3673345476624166,1.367537313432836
0,92,0.3925,0.3236,0.2839,1.345,1.218343949044586,1.4635352286773795,1.384994716449454
0,93,0.3941,0.309,0.2969,1.3413,1.23395077391525,1.472168284789644,1.3475917817446952
0,94,0.3789,0.3141,0.307,1.3588,1.2562681446291897,1.4603629417383,1.3814332247557004
0,95,0.3732,0.3155,0.3113,1.3042,1.2687566988210075,1.361014263074485,1.289110183103116
0,96,0.3663,0.3454,0.2883,1.3504,1.3720993720993722,1.374059061957151,1.2944849115504682
0,97,0.3271,0.397,0.2759,1.3927,1.400489147049832,1.410831234256927,1.3573758608191373
0,98,0.3011,0.4271,0.2718,1.3617,1.3978744603121886,1.3708733317724187,1.3072111846946284
0,99,0.2668,0.4317,0.3015,1.3325,1.3598200899550226,1.2948807041927264,1.3621890547263682
0,100,0.2619,0.4128,0.3253,1.3339,1.3161512027491409,1.248546511627907,1.4565016907470028
0,101,0.279,0.387,0.334,1.3292,1.2899641577060932,1.2325581395348837,1.4739520958083832
0,102,0.3028,0.3602,0.337,1.3657,1.2727873183619551,1.311493614658523,1.5071216617210683
0,103,0.3345,0.3248,0.3407,1.4085,1.2523168908819133,1.3669950738916257,1.6014088641033166
0,104,0.3778,0.2966,0.3256,1.3769,1.2014293276866066,1.4504383007417396,1.5135135135135136
0,105,0.3891,0.3045,0.3064,1.4035,1.1981495759444873,1.5625615763546798,1.5062010443864229
0,106,0.385,0.2907,0.3243,1.392,1.1690909090909092,1.564499484004128,1.502004316990441
0,107,0.38,0.2809,0.3391,1.3797,1.16,1.634745461018156,1.4146269537009732
0,108,0.3691,0.2867,0.3442,1.3892,1.1931725819561094,1.7157307289850017,1.3274259151656014
0,109,0.3739,0.2844,0.3417,1.3896,1.2356244985290183,1.6933895921237694,1.305238513315774
0,110,0.3869,0.3057,0.3074,1.357,1.3142930989919877,1.5498855086686294,1.2189329863370202
0,111,0.4019,0.3373,0.2608,1.4081,1.362030355809903,1.530981322265046,1.3201687116564418
0,112,0.3994,0.3661,0.2345,1.4004,1.315222834251377,1.503960666484567,1.3837953091684434
0,113,0.3739,0.394,0.2321,1.4108,1.286172773468842,1.463705583756345,1.5217578629900905
0,114,0.3463,0.4135,0.2402,1.4196,1.2870343632688421,1.4370012091898428,1.5807660283097418
0,115,0.346,0.4085,0.2455,1.3933,1.3034682080924855,1.3777233782129743,1.5458248472505092
0,116,0.3386,0.3977,0.2637,1.38,1.251624335499114,1.3412119688207191,1.603337125521426
0,117,0.354,0.3672,0.2788,1.386,1.2387005649717515,1.3537581699346406,1.6154949784791965
0,118,0.3483,0.3612,0.2905,1.4306,1.1685328739592304,1.4767441860465116,1.687435456110155
0,119,0.3458,0.3439,0.3103,1.4085,1.1671486408328513,1.4722302995056702,1.6068320979697068
0,120,0.322,0.3503,0.3277,1.4281,1.1518633540372671,1.5806451612903225,1.5364662801342692
0,121,0.2983,0.3393,0.3624,1.4915,1.2215890043580289,1.695254936634247,1.5229028697571745
0,122,0.2808,0.3374,0.3818,1.3903,1.2567663817663817,1.61262596324837,1.2920377160817182
0,123,0.245,0.3371,0.4179,1.4723,1.2959183673469388,1.7715811331948976,1.334290500119646
0,124,0.232,0.3129,0.4551,1.4011,1.3586206896551725,1.6823266219239374,1.2294001318391563
0,125,0.218,0.2939,0.4881,1.4146,1.4770642201834863,1.6679142565498468,1.2341733251382914
0,126,0.2253,0.2758,0.4989,1.4278,1.6280514869063472,1.6258158085569252,1.227901383042694
0,127,0.2509,0.2588,0.4903,1.4203,1.7289756875249103,1.4598145285935085,1.241484805221293
0,128,0.2677,0.2793,0.453,1.3805,1.6910720956294358,1.363408521303258,1.2075055187637969
0,129,0.2878,0.3099,0.4023,1.4973,1.8248783877692842,1.5240400129073894,1.2423564504101416
0,130,0.2927,0.3206,0.3867,1.422,1.714383327639221,1.3256394260761073,1.2805792604085855
0,131,0.3127,0.322,0.3653,1.4109,1.6936360729133355,1.2711180124223602,1.2920886942239256
0,132,0.326,0.3228,0.3512,1.3959,1.5809815950920245,1.1880421313506815,1.4151480637813212
0,133,0.3471,0.3335,0.3194,1.3813,1.445980985306828,1.232383808095952,1.4664996869129618
0,134,0.3651,0.3334,0.3015,1.357,1.3708572993700356,1.2558488302339532,1.4520729684908789
0,135,0.3633,0.34,0.2967,1.393,1.347646573080099,1.3473529411764706,1.5008426019548364
0,136,0.3553,0.3513,0.2934,1.3379,1.2811708415423586,1.3526900085397096,1.3888888888888888
0,137,0.3411,0.3552,0.3037,1.357,1.288185282908238,1.3327702702702702,1.462627593019427
0,138,0.3367,0.3548,0.3085,1.3969,1.376002376002376,1.4129086809470124,1.4012965964343598
0,139,0.306,0.3288,0.3652,1.4755,1.2996732026143791,1.4434306569343065,1.6516976998904709
0,140,0.3395,0.2901,0.3704,1.4494,1.374079528718704,1.463633229920717,1.5072894168466522
