y,b,media_estrategias_mantidas,std_estrategias_mantidas
1,1,2.0,0.0
1,2,2.0,0.0
1,3,2.03,0.1714466079977652
1,4,2.95,0.2190429135575905
1,5,3.0,0.0
2,1,1.64,0.8105366721929963
2,2,2.79,0.6079440431453865
2,3,3.0,0.0
2,4,3.0,0.0
2,5,3.0,0.0
3,1,2.09,0.9544684913657971
3,2,3.0,0.0
3,3,3.0,0.0
3,4,3.0,0.0
3,5,3.0,0.0
4,1,2.55,0.4999999999999999
4,2,3.0,0.0
4,3,3.0,0.0
4,4,3.0,0.0
4,5,3.0,0.0
5,1,3.0,0.0
5,2,3.0,0.0
5,3,3.0,0.0
5,4,3.0,0.0
5,5,3.0,0.0
1,6,3.0,0.0
1,7,3.0,0.0
1,8,3.0,0.0
1,9,3.0,0.0
1,10,3.0,0.0
2,6,3.0,0.0
2,7,3.0,0.0
2,8,3.0,0.0
2,9,3.0,0.0
2,10,3.0,0.0
3,6,3.0,0.0
3,7,3.0,0.0
3,8,3.0,0.0
3,9,3.0,0.0
3,10,3.0,0.0
4,6,3.0,0.0
4,7,3.0,0.0
4,8,3.0,0.0
4,9,3.0,0.0
4,10,3.0,0.0
5,6,3.0,0.0
5,7,3.0,0.0
5,8,3.0,0.0
5,9,3.0,0.0
5,10,3.0,0.0
1,11,2.75,0.4793724854411022
1,12,1.6,0.828775414010748
1,13,1.05,0.2972941950052815
1,14,1.0,0.0
1,15,1.0,0.0
2,11,2.78,0.6289320754704402
2,12,1.6,0.9211323729436764
2,13,1.04,0.2814105882725793
2,14,1.0,0.0
2,15,1.0,0.0
3,11,2.88,0.4773665131518841
3,12,1.72,0.9648363026488436
3,13,1.05,0.2972941950052815
3,14,1.02,0.2
3,15,1.0,0.0
4,11,3.0,0.0
4,12,1.9,1.0
4,13,1.06,0.3428932159955306
4,14,1.04,0.2814105882725794
4,15,1.0,0.0
5,11,3.0,0.0
5,12,1.93,0.9975221827360558
5,13,1.06,0.3428932159955306
5,14,1.04,0.2814105882725794
5,15,1.0,0.0
1,16,1.0,0.0
1,17,1.0,0.0
1,18,1.0,0.0
1,19,2.0,0.0
