y,b,prop_B_mantida,prop_O_mantida,prop_Y_mantida
1,1,0.0,1.0,1.0
1,2,0.0,1.0,1.0
1,3,0.03,1.0,1.0
1,4,0.95,1.0,1.0
1,5,1.0,1.0,1.0
2,1,0.44,0.21,0.99
2,2,1.0,0.89,0.9
2,3,1.0,1.0,1.0
2,4,1.0,1.0,1.0
2,5,1.0,1.0,1.0
3,1,0.98,0.5,0.61
3,2,1.0,1.0,1.0
3,3,1.0,1.0,1.0
3,4,1.0,1.0,1.0
3,5,1.0,1.0,1.0
4,1,1.0,0.55,1.0
4,2,1.0,1.0,1.0
4,3,1.0,1.0,1.0
4,4,1.0,1.0,1.0
4,5,1.0,1.0,1.0
5,1,1.0,1.0,1.0
5,2,1.0,1.0,1.0
5,3,1.0,1.0,1.0
5,4,1.0,1.0,1.0
5,5,1.0,1.0,1.0
1,6,1.0,1.0,1.0
1,7,1.0,1.0,1.0
1,8,1.0,1.0,1.0
1,9,1.0,1.0,1.0
1,10,1.0,1.0,1.0
2,6,1.0,1.0,1.0
2,7,1.0,1.0,1.0
2,8,1.0,1.0,1.0
2,9,1.0,1.0,1.0
2,10,1.0,1.0,1.0
3,6,1.0,1.0,1.0
3,7,1.0,1.0,1.0
3,8,1.0,1.0,1.0
3,9,1.0,1.0,1.0
3,10,1.0,1.0,1.0
4,6,1.0,1.0,1.0
4,7,1.0,1.0,1.0
4,8,1.0,1.0,1.0
4,9,1.0,1.0,1.0
4,10,1.0,1.0,1.0
5,6,1.0,1.0,1.0
5,7,1.0,1.0,1.0
5,8,1.0,1.0,1.0
5,9,1.0,1.0,1.0
5,10,1.0,1.0,1.0
1,11,0.77,1.0,0.98
1,12,0.22,1.0,0.38
1,13,0.02,1.0,0.03
1,14,0.0,1.0,0.0
1,15,0.0,1.0,0.0
2,11,0.89,0.9,0.99
2,12,0.3,0.82,0.48
2,13,0.02,0.98,0.04
2,14,0.0,0.99,0.01
2,15,0.0,1.0,0.0
3,11,0.94,0.94,1.0
3,12,0.36,0.82,0.54
3,13,0.02,0.98,0.05
3,14,0.01,1.0,0.01
3,15,0.0,1.0,0.0
4,11,1.0,1.0,1.0
4,12,0.45,0.86,0.59
4,13,0.03,0.97,0.06
4,14,0.02,1.0,0.02
4,15,0.0,1.0,0.0
5,11,1.0,1.0,1.0
5,12,0.47,0.87,0.59
5,13,0.03,0.98,0.05
5,14,0.02,1.0,0.02
5,15,0.0,1.0,0.0
1,16,0.0,1.0,0.0
1,17,0.0,1.0,0.0
1,18,0.0,1.0,0.0
1,19,1.0,1.0,0.0
1,20,0.0,1.0,0.0
2,16,0.0,1.0,0.0
2,17,0.0,1.0,0.0
2,18,0.0,1.0,0.0
2,19,1.0,1.0,0.0
2,20,0.0,1.0,0.0
3,16,0.0,1.0,0.0
3,17,0.0,1.0,0.0
3,18,0.0,1.0,0.0
3,19,1.0,1.0,0.0
3,20,0.0,1.0,0.0
4,16,0.0,1.0,0.0
4,17,0.0,1.0,0.0
4,18,0.0,1.0,0.0
4,19,1.0,1.0,0.0
4,20,0.0,1.0,0.0
5,16,0.0,1.0,0.0
5,17,0.0,1.0,0.0
5,18,0.0,1.0,0.0
5,19,1.0,1.0,0.0
5,20,0.0,1.0,0.0
1,21,1.0,1.0,0.0
1,22,1.0,1.0,0.0
1,23,1.0,1.0,0.0
1,24,1.0,1.0,0.0
1,25,1.0,1.0,0.0
2,21,1.0,1.0,0.0
2,22,1.0,1.0,0.0
2,23,1.0,1.0,0.0
2,24,1.0,1.0,0.0
2,25,1.0,1.0,0.0
3,21,1.0,1.0,0.0
