y,o,media_estrategias_mantidas,std_estrategias_mantidas
25,25,3.0,0.0
25,26,2.94,0.23868325657594205
25,27,2.56,0.4988876515698589
25,28,2.2,0.5685352436149611
25,29,1.78,0.6447926610605738
25,30,1.37,0.5252224156094121
25,31,1.07,0.2564323999762428
25,32,1.0,0.0
25,33,1.0,0.0
25,34,1.0,0.0
25,35,1.0,0.0
25,36,1.0,0.0
25,37,1.0,0.0
25,38,1.0,0.0
25,39,1.0,0.0
25,40,1.0,0.0
25,41,1.0,0.0
25,42,1.0,0.0
26,25,2.99,0.09999999999999999
26,26,2.96,0.1969463855669324
26,27,2.73,0.4461960433384736
26,28,2.42,0.5160064207571705
26,29,1.96,0.5846521887568554
26,30,1.52,0.5770002538381528
26,31,1.23,0.4461960433384737
26,32,1.05,0.2190429135575903
26,33,1.02,0.14070529413628965
26,34,1.01,0.10000000000000003
26,35,1.0,0.0
26,36,1.0,0.0
26,37,1.0,0.0
26,38,1.0,0.0
26,39,1.0,0.0
26,40,1.0,0.0
26,41,1.0,0.0
26,42,1.0,0.0
27,25,2.91,0.2876234912646613
27,26,2.84,0.3684529491774704
27,27,2.65,0.47937248544110217
27,28,2.38,0.4878317312145634
27,29,2.12,0.5371078555419279
27,30,1.79,0.5910955416799719
27,31,1.4,0.5504818825631803
27,32,1.17,0.4033946860424325
27,33,1.07,0.2564323999762428
27,34,1.04,0.19694638556693236
27,35,1.03,0.1714466079977653
27,36,1.0,0.0
27,37,1.0,0.0
27,38,1.0,0.0
27,39,1.0,0.0
27,40,1.0,0.0
27,41,1.0,0.0
27,42,1.0,0.0
28,25,2.65,0.47937248544110217
28,26,2.64,0.48241815132442173
28,27,2.53,0.5016135580465918
28,28,2.4,0.49236596391733073
28,29,2.21,0.45604802157206875
28,30,1.86,0.5688904671695277
28,31,1.49,0.5772627852480388
28,32,1.25,0.4578165130223675
28,33,1.09,0.32082595426382354
28,34,1.03,0.1714466079977653
28,35,1.02,0.14070529413628965
28,36,1.01,0.1
28,37,1.0,0.0
28,38,1.0,0.0
28,39,1.0,0.0
28,40,1.0,0.0
28,41,1.0,0.0
28,42,1.0,0.0
29,25,2.03,0.17144660799776537
29,26,2.12,0.3265986323710903
29,27,2.14,0.34873508801977693
29,28,2.17,0.3775251680686368
29,29,2.06,0.37118429085533494
29,30,1.87,0.46395314984653935
29,31,1.65,0.6092717958449422
29,32,1.27,0.4461960433384737
29,33,1.13,0.3379976689896312
29,34,1.03,0.1714466079977653
29,35,1.02,0.1407052941362897
29,36,1.01,0.1
29,37,1.01,0.1
29,38,1.01,0.1
29,39,1.01,0.1
29,40,1.0,0.0
29,41,1.0,0.0
29,42,1.0,0.0
30,25,2.0,0.0
30,26,2.0,0.0
30,27,2.0,0.0
30,28,1.97,0.1714466079977653
30,29,1.94,0.27779797906341436
30,30,1.87,0.4639531498465391
30,31,1.56,0.5378595813899101
30,32,1.35,0.5000000000000001
30,33,1.18,0.43531017619043727
30,34,1.07,0.2564323999762428
30,35,1.01,0.1
30,36,1.01,0.1
30,37,1.0,0.0
30,38,1.0,0.0
30,39,1.0,0.0
30,40,1.0,0.0
30,41,1.0,0.0
30,42,1.0,0.0
31,25,2.0,0.0
31,26,2.0,0.0
31,27,1.98,0.14070529413628968
31,28,1.97,0.1714466079977653
31,29,1.93,0.25643239997624273
31,30,1.77,0.4229525846816507
31,31,1.57,0.5366374921488416
31,32,1.31,0.4648231987117317
31,33,1.16,0.39491720139745234
31,34,1.1,0.30151134457776363
31,35,1.05,0.21904291355759034
31,36,1.02,0.14070529413628968
31,37,1.02,0.14070529413628968
31,38,1.01,0.1
31,39,1.01,0.1
31,40,1.0,0.0
31,41,1.0,0.0
31,42,1.0,0.0
32,25,1.99,0.10000000000000002
32,26,1.98,0.14070529413628968
32,27,1.96,0.19694638556693236
32,28,1.91,0.2876234912646614
32,29,1.87,0.3379976689896311
32,30,1.76,0.42923469599092784
32,31,1.46,0.5009082659620331
32,32,1.3,0.4605661864718382
32,33,1.14,0.34873508801977704
32,34,1.09,0.2876234912646614
32,35,1.04,0.19694638556693236
32,36,1.02,0.14070529413628968
32,37,1.02,0.14070529413628968
32,38,1.0,0.0
32,39,1.0,0.0
32,40,1.0,0.0
32,41,1.0,0.0
32,42,1.0,0.0
33,25,1.98,0.14070529413628968
33,26,1.95,0.2190429135575903
33,27,1.91,0.2876234912646613
33,28,1.81,0.39427724440366246
33,29,1.72,0.4512608598542129
33,30,1.62,0.48783173121456325
33,31,1.42,0.49604496374885804
33,32,1.28,0.45126085985421305
33,33,1.16,0.3684529491774707
33,34,1.09,0.28762349126466136
33,35,1.05,0.21904291355759034
33,36,1.02,0.14070529413628968
33,37,1.01,0.09999999999999999
33,38,1.01,0.09999999999999999
33,39,1.0,0.0
33,40,1.0,0.0
33,41,1.0,0.0
33,42,1.0,0.0
34,25,1.95,0.21904291355759034
34,26,1.89,0.3144660377352201
34,27,1.81,0.3942772444036626
34,28,1.71,0.45604802157206864
34,29,1.6,0.49236596391733084
34,30,1.49,0.5024183937956914
34,31,1.38,0.4878317312145632
34,32,1.23,0.4229525846816507
34,33,1.1,0.30151134457776374
34,34,1.05,0.21904291355759034
34,35,1.02,0.1407052941362897
34,36,1.01,0.09999999999999999
34,37,1.01,0.09999999999999999
34,38,1.0,0.0
34,39,1.0,0.0
34,40,1.0,0.0
34,41,1.0,0.0
