y,o,media_estrategias_mantidas,std_estrategias_mantidas
1,1,2.0,0.0
1,2,1.7,0.8102873913406629
1,3,2.0,0.9534625892455922
1,4,2.53,0.5016135580465918
1,5,3.0,0.0
2,1,2.0,0.0
2,2,2.88,0.4773665131518841
2,3,3.0,0.0
2,4,3.0,0.0
2,5,3.0,0.0
3,1,2.04,0.1969463855669323
3,2,3.0,0.0
3,3,3.0,0.0
3,4,3.0,0.0
3,5,3.0,0.0
4,1,2.96,0.1969463855669323
4,2,3.0,0.0
4,3,3.0,0.0
4,4,3.0,0.0
4,5,3.0,0.0
5,1,3.0,0.0
5,2,3.0,0.0
5,3,3.0,0.0
5,4,3.0,0.0
5,5,3.0,0.0
1,6,3.0,0.0
1,7,3.0,0.0
1,8,3.0,0.0
1,9,2.76,0.4292346959909278
1,10,2.0,0.0
2,6,3.0,0.0
2,7,3.0,0.0
2,8,3.0,0.0
2,9,3.0,0.0
2,10,3.0,0.0
3,6,3.0,0.0
3,7,3.0,0.0
3,8,3.0,0.0
3,9,3.0,0.0
3,10,3.0,0.0
4,6,3.0,0.0
4,7,3.0,0.0
4,8,3.0,0.0
4,9,3.0,0.0
4,10,3.0,0.0
5,6,3.0,0.0
5,7,3.0,0.0
5,8,3.0,0.0
5,9,3.0,0.0
5,10,3.0,0.0
1,11,2.0,0.0
1,12,2.0,0.0
1,13,2.0,0.0
1,14,2.0,0.0
1,15,2.0,0.0
2,11,2.15,0.988571053224161
2,12,2.0,0.0
2,13,2.0,0.0
2,14,2.0,0.0
2,15,2.0,0.0
3,11,2.97,0.2227015033536137
3,12,1.62,0.9296463974234636
3,13,1.0,0.0
3,14,1.99,0.0999999999999999
3,15,2.0,0.0
4,11,2.96,0.2814105882725794
4,12,1.76,0.9756634624291264
4,13,1.02,0.1999999999999999
4,14,1.02,0.2
4,15,1.0,0.0
5,11,2.96,0.2814105882725794
5,12,1.78,0.9804142600003944
5,13,1.02,0.1999999999999999
5,14,1.02,0.2
5,15,1.0,0.0
1,16,2.0,0.0
1,17,2.0,0.0
1,18,2.0,0.0
1,19,2.0,0.0
1,20,2.0,0.0
2,16,2.0,0.0
2,17,2.0,0.0
2,18,2.0,0.0
2,19,2.0,0.0
2,20,2.0,0.0
3,16,2.0,0.0
3,17,2.0,0.0
3,18,2.0,0.0
3,19,2.0,0.0
3,20,2.0,0.0
4,16,1.0,0.0
4,17,1.0,0.0
4,18,1.0,0.0
4,19,2.0,0.0
4,20,1.0,0.0
5,16,1.01,0.0999999999999999
5,17,1.0,0.0
5,18,1.0,0.0
5,19,2.0,0.0
5,20,1.0,0.0
1,21,2.0,0.0
1,22,2.0,0.0
1,23,2.0,0.0
1,24,2.0,0.0
1,25,2.0,0.0
2,21,2.0,0.0
2,22,2.0,0.0
2,23,2.0,0.0
2,24,2.0,0.0
2,25,2.0,0.0
3,21,2.0,0.0
3,22,2.0,0.0
3,23,2.0,0.0
3,24,2.0,0.0
3,25,2.0,0.0
4,21,2.0,0.0
4,22,2.0,0.0
4,23,2.0,0.0
4,24,2.0,0.0
4,25,2.0,0.0
5,21,2.0,0.0
5,22,2.0,0.0
5,23,2.0,0.0
5,24,2.0,0.0
5,25,2.0,0.0
1,26,2.0,0.0
1,27,2.0,0.0
1,28,2.0,0.0
1,29,2.0,0.0
1,30,1.94,0.2386832565759421
2,26,2.0,0.0
2,27,2.0,0.0
2,28,2.0,0.0
2,29,2.0,0.0
2,30,1.99,0.0999999999999999
3,26,2.0,0.0
3,27,2.0,0.0
3,28,2.0,0.0
3,29,2.0,0.0
3,30,1.99,0.0999999999999999
4,26,2.0,0.0
4,27,2.0,0.0
4,28,2.0,0.0
4,29,2.0,0.0
4,30,2.0,0.0
5,26,2.0,0.0
5,27,2.0,0.0
5,28,2.0,0.0
5,29,2.0,0.0
5,30,2.0,0.0
1,31,1.85,0.3588702812826367
1,32,1.74,0.4408440022768081
1,33,1.64,0.4824181513244218
1,34,1.51,0.5024183937956914
1,35,1.36,0.4824181513244218
2,31,1.94,0.238683256575942
2,32,1.84,0.3684529491774707
2,33,1.78,0.4163331998932265
2,34,1.65,0.4793724854411023
2,35,1.54,0.5009082659620331
3,31,1.99,0.0999999999999999
3,32,1.94,0.238683256575942
3,33,1.85,0.3588702812826366
3,34,1.75,0.4351941398892446
3,35,1.65,0.4793724854411021
4,31,2.0,0.0
4,32,1.97,0.1714466079977653
4,33,1.96,0.1969463855669324
4,34,1.85,0.3588702812826366
4,35,1.71,0.4560480215720686
5,31,2.0,0.0
5,32,1.97,0.1714466079977653
5,33,1.96,0.1969463855669324
5,34,1.85,0.3588702812826366
5,35,1.71,0.4560480215720686
1,36,1.31,0.4648231987117316
1,37,1.33,0.4725815626252608
1,38,1.31,0.4648231987117317
1,39,1.45,0.5
1,40,1.48,0.5021167315686783
2,36,1.44,0.4988876515698588
2,37,1.4,0.4923659639173307
2,38,1.5,0.502518907629606
2,39,1.53,0.5016135580465918
2,40,1.57,0.497569851956243
3,36,1.54,0.5009082659620331
3,37,1.54,0.5009082659620331
3,38,1.62,0.4878317312145632
3,39,1.63,0.4852365870939097
3,40,1.69,0.4648231987117316
4,36,1.58,0.4960449637488582
4,37,1.65,0.4793724854411024
4,38,1.71,0.4560480215720686
4,39,1.73,0.4461960433384737
4,40,1.79,0.4093601807403323
5,36,1.58,0.4960449637488582
5,37,1.65,0.4793724854411024
5,38,1.71,0.4560480215720686
5,39,1.73,0.4461960433384737
5,40,1.79,0.4093601807403323
1,41,1.5,0.5025189076296062
1,42,1.51,0.5024183937956915
2,41,1.59,0.4943110704237102
2,42,1.6,0.4923659639173309
3,41,1.71,0.4560480215720685
3,42,1.72,0.451260859854213
4,41,1.83,0.3775251680686369
4,42,1.83,0.3775251680686369
5,41,1.83,0.3775251680686369
5,42,1.83,0.3775251680686369
1,41,1.5,0.5025189076296062
1,42,1.51,0.5024183937956915
2,41,1.59,0.4943110704237102
2,42,1.6,0.4923659639173309
3,41,1.71,0.4560480215720685
3,42,1.72,0.451260859854213
4,41,1.83,0.3775251680686369
4,42,1.83,0.3775251680686369
5,41,1.83,0.3775251680686369
5,42,1.83,0.3775251680686369
6,1,3.0,0.0
6,2,3.0,0.0
6,3,3.0,0.0
6,4,3.0,0.0
6,5,3.0,0.0
7,1,3.0,0.0
7,2,3.0,0.0
7,3,3.0,0.0
7,4,3.0,0.0
7,5,3.0,0.0
8,1,3.0,0.0
8,2,3.0,0.0
8,3,3.0,0.0
8,4,3.0,0.0
8,5,3.0,0.0
9,1,3.0,0.0
9,2,3.0,0.0
9,3,3.0,0.0
9,4,3.0,0.0
9,5,3.0,0.0
10,1,2.99,0.1
10,2,3.0,0.0
10,3,3.0,0.0
10,4,3.0,0.0
10,5,3.0,0.0
6,6,3.0,0.0
6,7,3.0,0.0
6,8,3.0,0.0
6,9,3.0,0.0
6,10,3.0,0.0
7,6,3.0,0.0
7,7,3.0,0.0
7,8,3.0,0.0
7,9,3.0,0.0
7,10,3.0,0.0
8,6,3.0,0.0
8,7,3.0,0.0
8,8,3.0,0.0
8,9,3.0,0.0
8,10,3.0,0.0
9,6,3.0,0.0
9,7,3.0,0.0
9,8,3.0,0.0
9,9,3.0,0.0
9,10,3.0,0.0
10,6,3.0,0.0
10,7,3.0,0.0
10,8,3.0,0.0
10,9,3.0,0.0
10,10,3.0,0.0
6,11,2.98,0.2
6,12,1.79,0.9774735523043808
6,13,1.02,0.1999999999999999
6,14,1.02,0.2
6,15,1.0,0.0
7,11,2.98,0.2
7,12,1.85,0.9885710532241612
7,13,1.02,0.1999999999999999
7,14,1.02,0.2
7,15,1.0,0.0
8,11,2.96,0.2814105882725793
8,12,1.85,0.9885710532241612
8,13,1.02,0.1999999999999999
8,14,1.02,0.2
8,15,1.0,0.0
9,11,3.0,0.0
9,12,2.46,0.8923920866769472
9,13,1.4,0.8040302522073697
9,14,1.06,0.3428932159955306
9,15,1.0,0.0
10,11,3.0,0.0
10,12,2.68,0.7369058983549414
10,13,1.34,0.7550503361372737
10,14,1.12,0.4773665131518841
10,15,1.0,0.0
6,16,1.01,0.0999999999999999
6,17,1.0,0.0
6,18,1.0,0.0
6,19,2.0,0.0
6,20,1.0,0.0
7,16,1.0,0.0
7,17,1.0,0.0
7,18,1.0,0.0
7,19,2.0,0.0
7,20,1.0,0.0
8,16,1.0,0.0
8,17,1.0,0.0
8,18,1.0,0.0
8,19,2.0,0.0
8,20,1.0,0.0
9,16,1.08,0.2726599243442907
9,17,1.0,0.0
9,18,1.0,0.0
9,19,1.0,0.0
