y,o,prop_B_mantida,prop_O_mantida,prop_Y_mantida
25,25,1.0,1.0,1.0
25,26,1.0,0.94,1.0
25,27,1.0,0.56,1.0
25,28,0.92,0.28,1.0
25,29,0.66,0.12,1.0
25,30,0.35,0.02,1.0
25,31,0.07,0.0,1.0
25,32,0.0,0.0,1.0
25,33,0.0,0.0,1.0
25,34,0.0,0.0,1.0
25,35,0.0,0.0,1.0
25,36,0.0,0.0,1.0
25,37,0.0,0.0,1.0
25,38,0.0,0.0,1.0
25,39,0.0,0.0,1.0
25,40,0.0,0.0,1.0
25,41,0.0,0.0,1.0
25,42,0.0,0.0,1.0
26,25,1.0,0.99,1.0
26,26,1.0,0.96,1.0
26,27,1.0,0.73,1.0
26,28,0.99,0.43,1.0
26,29,0.81,0.15,1.0
26,30,0.48,0.04,1.0
26,31,0.22,0.01,1.0
26,32,0.05,0.0,1.0
26,33,0.02,0.0,1.0
26,34,0.01,0.0,1.0
26,35,0.0,0.0,1.0
26,36,0.0,0.0,1.0
26,37,0.0,0.0,1.0
26,38,0.0,0.0,1.0
26,39,0.0,0.0,1.0
26,40,0.0,0.0,1.0
26,41,0.0,0.0,1.0
26,42,0.0,0.0,1.0
27,25,1.0,0.91,1.0
27,26,1.0,0.84,1.0
27,27,1.0,0.65,1.0
27,28,1.0,0.38,1.0
27,29,0.91,0.21,1.0
27,30,0.7,0.09,1.0
27,31,0.37,0.03,1.0
27,32,0.16,0.01,1.0
27,33,0.07,0.0,1.0
27,34,0.04,0.0,1.0
27,35,0.03,0.0,1.0
27,36,0.0,0.0,1.0
27,37,0.0,0.0,1.0
27,38,0.0,0.0,1.0
27,39,0.0,0.0,1.0
27,40,0.0,0.0,1.0
27,41,0.0,0.0,1.0
27,42,0.0,0.0,1.0
28,25,1.0,0.65,1.0
28,26,1.0,0.64,1.0
28,27,1.0,0.53,1.0
28,28,1.0,0.4,1.0
28,29,0.98,0.23,1.0
28,30,0.76,0.1,1.0
28,31,0.45,0.04,1.0
28,32,0.24,0.01,1.0
28,33,0.08,0.01,1.0
28,34,0.03,0.0,1.0
28,35,0.02,0.0,1.0
28,36,0.01,0.0,1.0
28,37,0.0,0.0,1.0
28,38,0.0,0.0,1.0
28,39,0.0,0.0,1.0
28,40,0.0,0.0,1.0
28,41,0.0,0.0,1.0
28,42,0.0,0.0,1.0
29,25,1.0,0.03,1.0
29,26,1.0,0.12,1.0
29,27,1.0,0.14,1.0
29,28,1.0,0.17,1.0
29,29,0.96,0.1,1.0
29,30,0.82,0.05,1.0
29,31,0.58,0.07,1.0
29,32,0.27,0.0,1.0
29,33,0.13,0.0,1.0
29,34,0.03,0.0,1.0
29,35,0.02,0.0,1.0
29,36,0.01,0.0,1.0
29,37,0.01,0.0,1.0
29,38,0.01,0.0,1.0
29,39,0.01,0.0,1.0
29,40,0.0,0.0,1.0
29,41,0.0,0.0,1.0
29,42,0.0,0.0,1.0
30,25,1.0,0.0,1.0
30,26,1.0,0.0,1.0
30,27,1.0,0.0,1.0
30,28,0.97,0.0,1.0
30,29,0.93,0.01,1.0
30,30,0.82,0.05,1.0
30,31,0.54,0.02,1.0
30,32,0.34,0.01,1.0
30,33,0.16,0.02,1.0
30,34,0.07,0.0,1.0
30,35,0.01,0.0,1.0
30,36,0.01,0.0,1.0
30,37,0.0,0.0,1.0
30,38,0.0,0.0,1.0
30,39,0.0,0.0,1.0
30,40,0.0,0.0,1.0
30,41,0.0,0.0,1.0
30,42,0.0,0.0,1.0
31,25,1.0,0.0,1.0
31,26,1.0,0.0,1.0
31,27,0.98,0.0,1.0
31,28,0.97,0.0,1.0
31,29,0.93,0.0,1.0
31,30,0.77,0.0,1.0
31,31,0.55,0.02,1.0
31,32,0.31,0.0,1.0
31,33,0.15,0.01,1.0
31,34,0.1,0.0,1.0
31,35,0.05,0.0,1.0
31,36,0.02,0.0,1.0
31,37,0.02,0.0,1.0
31,38,0.01,0.0,1.0
31,39,0.01,0.0,1.0
31,40,0.0,0.0,1.0
31,41,0.0,0.0,1.0
31,42,0.0,0.0,1.0
32,25,0.99,0.0,1.0
32,26,0.98,0.0,1.0
32,27,0.96,0.0,1.0
32,28,0.91,0.0,1.0
32,29,0.87,0.0,1.0
32,30,0.76,0.0,1.0
32,31,0.46,0.0,1.0
32,32,0.3,0.0,1.0
32,33,0.14,0.0,1.0
32,34,0.09,0.0,1.0
32,35,0.04,0.0,1.0
32,36,0.02,0.0,1.0
32,37,0.02,0.0,1.0
32,38,0.0,0.0,1.0
32,39,0.0,0.0,1.0
32,40,0.0,0.0,1.0
32,41,0.0,0.0,1.0
32,42,0.0,0.0,1.0
33,25,0.98,0.0,1.0
33,26,0.95,0.0,1.0
33,27,0.91,0.0,1.0
33,28,0.81,0.0,1.0
33,29,0.72,0.0,1.0
33,30,0.62,0.0,1.0
33,31,0.42,0.0,1.0
33,32,0.28,0.0,1.0
33,33,0.16,0.0,1.0
33,34,0.09,0.0,1.0
33,35,0.05,0.0,1.0
33,36,0.02,0.0,1.0
33,37,0.01,0.0,1.0
33,38,0.01,0.0,1.0
33,39,0.0,0.0,1.0
33,40,0.0,0.0,1.0
33,41,0.0,0.0,1.0
33,42,0.0,0.0,1.0
34,25,0.95,0.0,1.0
34,26,0.89,0.0,1.0
34,27,0.81,0.0,1.0
34,28,0.71,0.0,1.0
34,29,0.6,0.0,1.0
34,30,0.49,0.0,1.0
34,31,0.38,0.0,1.0
34,32,0.23,0.0,1.0
34,33,0.1,0.0,1.0
34,34,0.05,0.0,1.0
34,35,0.02,0.0,1.0
34,36,0.01,0.0,1.0
34,37,0.01,0.0,1.0
34,38,0.0,0.0,1.0
34,39,0.0,0.0,1.0
34,40,0.0,0.0,1.0
34,41,0.0,0.0,1.0
34,42,0.0,0.0,1.0
35,25,0.81,0.0,1.0
35,26,0.77,0.0,1.0
35,27,0.66,0.0,1.0
35,28,0.54,0.0,1.0
35,29,0.45,0.0,1.0
35,30,0.38,0.0,1.0
35,31,0.25,0.0,1.0
35,32,0.16,0.0,1.0
35,33,0.08,0.0,1.0
35,34,0.05,0.0,1.0
35,35,0.02,0.0,1.0
35,36,0.01,0.0,1.0
35,37,0.01,0.0,1.0
35,38,0.02,0.0,1.0
35,39,0.01,0.0,1.0
35,40,0.01,0.0,1.0
35,41,0.01,0.0,1.0
35,42,0.01,0.0,1.0
36,25,0.74,0.0,1.0
36,26,0.61,0.0,1.0
36,27,0.48,0.0,1.0
36,28,0.43,0.0,1.0
36,29,0.32,0.0,1.0
36,30,0.24,0.0,1.0
36,31,0.16,0.0,1.0
36,32,0.09,0.0,1.0
36,33,0.04,0.0,1.0
36,34,0.03,0.0,1.0
36,35,0.02,0.0,1.0
36,36,0.01,0.0,1.0
36,37,0.01,0.0,1.0
36,38,0.01,0.0,1.0
36,39,0.01,0.0,1.0
36,40,0.02,0.0,1.0
36,41,0.01,0.0,1.0
36,42,0.01,0.0,1.0
37,25,0.71,0.0,1.0
37,26,0.59,0.0,1.0
37,27,0.51,0.0,1.0
37,28,0.46,0.0,1.0
37,29,0.37,0.0,1.0
37,30,0.3,0.0,1.0
37,31,0.23,0.0,1.0
37,32,0.17,0.0,1.0
37,33,0.13,0.0,1.0
37,34,0.1,0.0,1.0
37,35,0.03,0.0,1.0
37,36,0.03,0.0,1.0
37,37,0.02,0.0,1.0
37,38,0.02,0.0,1.0
37,39,0.03,0.0,1.0
37,40,0.04,0.0,1.0
37,41,0.03,0.0,1.0
37,42,0.01,0.0,1.0
38,25,0.74,0.0,1.0
38,26,0.66,0.0,1.0
38,27,0.58,0.0,1.0
38,28,0.5,0.0,1.0
38,29,0.45,0.0,1.0
38,30,0.34,0.0,1.0
38,31,0.28,0.0,1.0
38,32,0.26,0.0,1.0
38,33,0.17,0.0,1.0
38,34,0.1,0.0,1.0
38,35,0.08,0.0,1.0
38,36,0.07,0.0,1.0
38,37,0.07,0.0,1.0
38,38,0.07,0.0,1.0
38,39,0.05,0.0,1.0
38,40,0.05,0.0,1.0
38,41,0.05,0.0,1.0
38,42,0.04,0.0,1.0
39,25,0.79,0.0,1.0
39,26,0.75,0.0,1.0
39,27,0.64,0.0,1.0
39,28,0.6,0.0,1.0
39,29,0.5,0.0,1.0
39,30,0.44,0.0,1.0
39,31,0.37,0.0,1.0
39,32,0.32,0.0,1.0
39,33,0.24,0.0,1.0
39,34,0.22,0.0,1.0
39,35,0.2,0.0,1.0
39,36,0.16,0.0,1.0
39,37,0.13,0.0,1.0
39,38,0.12,0.0,1.0
39,39,0.1,0.0,1.0
39,40,0.09,0.0,1.0
39,41,0.08,0.0,1.0
39,42,0.08,0.0,1.0
40,25,0.86,0.0,1.0
40,26,0.81,0.0,1.0
40,27,0.72,0.0,1.0
40,28,0.66,0.0,1.0
40,29,0.57,0.0,1.0
40,30,0.48,0.0,1.0
40,31,0.42,0.0,1.0
40,32,0.4,0.0,1.0
40,33,0.37,0.0,1.0
40,34,0.39,0.0,1.0
40,35,0.35,0.0,1.0
40,36,0.28,0.0,1.0
40,37,0.27,0.0,1.0
40,38,0.25,0.0,1.0
40,39,0.22,0.0,1.0
40,40,0.19,0.0,1.0
40,41,0.16,0.0,1.0
