t,pop,estrategia,frequencia
0,0,O,0.3352
0,0,Y,0.3399
0,0,B,0.3249
1,0,O,0.3752
1,0,Y,0.3058
1,0,B,0.319
2,0,O,0.3811
2,0,Y,0.3493
2,0,B,0.2696
3,0,O,0.3699
3,0,Y,0.299
3,0,B,0.3311
4,0,O,0.3949
4,0,Y,0.2531
4,0,B,0.352
5,0,O,0.455
5,0,Y,0.2147
5,0,B,0.3303
6,0,O,0.5054
6,0,Y,0.2062
6,0,B,0.2884
7,0,O,0.5062
7,0,Y,0.2473
7,0,B,0.2465
8,0,O,0.4734
8,0,Y,0.2762
8,0,B,0.2504
9,0,O,0.4392
9,0,Y,0.2395
9,0,B,0.3213
10,0,O,0.4135
10,0,Y,0.2284
10,0,B,0.3581
11,0,O,0.4106
11,0,Y,0.2381
11,0,B,0.3513
12,0,O,0.4138
12,0,Y,0.2596
12,0,B,0.3266
13,0,O,0.4119
13,0,Y,0.2594
13,0,B,0.3287
14,0,O,0.3815
14,0,Y,0.2697
14,0,B,0.3488
15,0,O,0.3887
15,0,Y,0.2129
15,0,B,0.3984
16,0,O,0.4518
16,0,Y,0.1761
16,0,B,0.3721
17,0,O,0.536
17,0,Y,0.1937
17,0,B,0.2703
18,0,O,0.5446
18,0,Y,0.2689
18,0,B,0.1865
19,0,O,0.495
19,0,Y,0.3156
19,0,B,0.1894
20,0,O,0.4258
20,0,Y,0.2799
20,0,B,0.2943
21,0,O,0.3942
21,0,Y,0.2382
21,0,B,0.3676
22,0,O,0.4249
22,0,Y,0.2199
22,0,B,0.3552
23,0,O,0.482
23,0,Y,0.2401
23,0,B,0.2779
24,0,O,0.4765
24,0,Y,0.2862
24,0,B,0.2373
25,0,O,0.4155
25,0,Y,0.2981
25,0,B,0.2864
26,0,O,0.3637
26,0,Y,0.2268
26,0,B,0.4095
27,0,O,0.4076
27,0,Y,0.1781
27,0,B,0.4143
28,0,O,0.49
28,0,Y,0.2095
28,0,B,0.3005
29,0,O,0.4983
29,0,Y,0.2702
29,0,B,0.2315
30,0,O,0.4467
30,0,Y,0.2899
30,0,B,0.2634
31,0,O,0.3445
31,0,Y,0.2925
31,0,B,0.363
32,0,O,0.3414
32,0,Y,0.1978
