t,pop,estrategia,n_vizinhos
0,0,O,4.0
0,0,Y,4.0
0,0,B,4.0
1,0,O,4.0
1,0,Y,4.0
1,0,B,4.0
2,0,O,4.0
2,0,Y,4.0
2,0,B,4.0
3,0,O,4.0
3,0,Y,4.0
3,0,B,4.0
4,0,O,4.0
4,0,Y,4.0
4,0,B,4.0
5,0,O,4.0
5,0,Y,4.0
5,0,B,4.0
6,0,O,4.0
6,0,Y,4.0
6,0,B,4.0
7,0,O,4.0
7,0,Y,4.0
7,0,B,4.0
8,0,O,4.0
8,0,Y,4.0
8,0,B,4.0
9,0,O,4.0
9,0,Y,4.0
9,0,B,4.0
10,0,O,4.0
10,0,Y,4.0
10,0,B,4.0
11,0,O,4.0
11,0,Y,4.0
11,0,B,4.0
12,0,O,4.0
12,0,Y,4.0
12,0,B,4.0
13,0,O,4.0
13,0,Y,4.0
13,0,B,4.0
14,0,O,4.0
14,0,Y,4.0
14,0,B,4.0
15,0,O,4.0
15,0,Y,4.0
15,0,B,4.0
16,0,O,4.0
16,0,Y,4.0
16,0,B,4.0
17,0,O,4.0
17,0,Y,4.0
17,0,B,4.0
18,0,O,4.0
18,0,Y,4.0
18,0,B,4.0
19,0,O,4.0
19,0,Y,4.0
19,0,B,4.0
20,0,O,4.0
20,0,Y,4.0
20,0,B,4.0
21,0,O,4.0
21,0,Y,4.0
21,0,B,4.0
22,0,O,4.0
22,0,Y,4.0
22,0,B,4.0
23,0,O,4.0
23,0,Y,4.0
23,0,B,4.0
24,0,O,4.0
24,0,Y,4.0
24,0,B,4.0
25,0,O,4.0
25,0,Y,4.0
25,0,B,4.0
26,0,O,4.0
26,0,Y,4.0
26,0,B,4.0
27,0,O,4.0
27,0,Y,4.0
27,0,B,4.0
28,0,O,4.0
28,0,Y,4.0
28,0,B,4.0
29,0,O,4.0
29,0,Y,4.0
29,0,B,4.0
30,0,O,4.0
30,0,Y,4.0
30,0,B,4.0
31,0,O,4.0
31,0,Y,4.0
31,0,B,4.0
32,0,O,4.0
32,0,Y,4.0
32,0,B,4.0
33,0,O,4.0
33,0,Y,4.0
33,0,B,4.0
34,0,O,4.0
34,0,Y,4.0
34,0,B,4.0
35,0,O,4.0
35,0,Y,4.0
35,0,B,4.0
36,0,O,4.0
36,0,Y,4.0
36,0,B,4.0
37,0,O,4.0
37,0,Y,4.0
37,0,B,4.0
38,0,O,4.0
38,0,Y,4.0
38,0,B,4.0
39,0,O,4.0
39,0,Y,4.0
39,0,B,4.0
40,0,O,4.0
40,0,Y,4.0
40,0,B,4.0
41,0,O,4.0
41,0,Y,4.0
41,0,B,4.0
42,0,O,4.0
42,0,Y,4.0
42,0,B,4.0
43,0,O,4.0
43,0,Y,4.0
43,0,B,4.0
44,0,O,4.0
44,0,Y,4.0
44,0,B,4.0
45,0,O,4.0
45,0,Y,4.0
45,0,B,4.0
46,0,O,4.0
46,0,Y,4.0
46,0,B,4.0
47,0,O,4.0
47,0,Y,4.0
47,0,B,4.0
48,0,O,4.0
48,0,Y,4.0
48,0,B,4.0
49,0,O,4.0
49,0,Y,4.0
49,0,B,4.0
50,0,O,4.0
50,0,Y,4.0
50,0,B,4.0
51,0,O,4.0
51,0,Y,4.0
51,0,B,4.0
52,0,O,4.0
52,0,Y,4.0
52,0,B,4.0
53,0,O,4.0
53,0,Y,4.0
53,0,B,4.0
54,0,O,4.0
54,0,Y,4.0
54,0,B,4.0
55,0,O,4.0
55,0,Y,4.0
55,0,B,4.0
56,0,O,4.0
56,0,Y,4.0
56,0,B,4.0
57,0,O,4.0
57,0,Y,4.0
57,0,B,4.0
58,0,O,4.0
58,0,Y,4.0
58,0,B,4.0
59,0,O,4.0
59,0,Y,4.0
59,0,B,4.0
60,0,O,4.0
60,0,Y,4.0
60,0,B,4.0
61,0,O,4.0
61,0,Y,4.0
61,0,B,4.0
62,0,O,4.0
62,0,Y,4.0
62,0,B,4.0
63,0,O,4.0
63,0,Y,4.0
63,0,B,4.0
64,0,O,4.0
64,0,Y,4.0
64,0,B,4.0
65,0,O,4.0
65,0,Y,4.0
65,0,B,4.0
66,0,O,4.0
66,0,Y,4.0
66,0,B,4.0
67,0,O,4.0
67,0,Y,4.0
67,0,B,4.0
68,0,O,4.0
68,0,Y,4.0
68,0,B,4.0
69,0,O,4.0
69,0,Y,4.0
69,0,B,4.0
70,0,O,4.0
70,0,Y,4.0
70,0,B,4.0
71,0,O,4.0
71,0,Y,4.0
71,0,B,4.0
72,0,O,4.0
72,0,Y,4.0
72,0,B,4.0
73,0,O,4.0
73,0,Y,4.0
73,0,B,4.0
74,0,O,4.0
74,0,Y,4.0
74,0,B,4.0
75,0,O,4.0
75,0,Y,4.0
75,0,B,4.0
76,0,O,4.0
76,0,Y,4.0
76,0,B,4.0
77,0,O,4.0
77,0,Y,4.0
77,0,B,4.0
78,0,O,4.0
78,0,Y,4.0
78,0,B,4.0
79,0,O,4.0
79,0,Y,4.0
79,0,B,4.0
80,0,O,4.0
80,0,Y,4.0
80,0,B,4.0
81,0,O,4.0
81,0,Y,4.0
81,0,B,4.0
82,0,O,4.0
82,0,Y,4.0
82,0,B,4.0
83,0,O,4.0
83,0,Y,4.0
83,0,B,4.0
84,0,O,4.0
84,0,Y,4.0
84,0,B,4.0
85,0,O,4.0
85,0,Y,4.0
85,0,B,4.0
86,0,O,4.0
86,0,Y,4.0
86,0,B,4.0
87,0,O,4.0
87,0,Y,4.0
87,0,B,4.0
