t,pop,estrategia,n_vizinhos
0,0,O,24.0
0,0,Y,4.0
0,0,B,24.0
0,1,O,24.0
0,1,Y,4.0
0,1,B,24.0
0,2,O,24.0
0,2,Y,4.0
0,2,B,24.0
0,3,O,24.0
0,3,Y,4.0
0,3,B,24.0
0,4,O,24.0
0,4,Y,4.0
0,4,B,24.0
0,5,O,24.0
0,5,Y,4.0
0,5,B,24.0
0,6,O,24.0
0,6,Y,4.0
0,6,B,24.0
0,7,O,24.0
0,7,Y,4.0
0,7,B,24.0
0,8,O,24.0
0,8,Y,4.0
0,8,B,24.0
0,9,O,24.0
0,9,Y,4.0
0,9,B,24.0
0,10,O,24.0
0,10,Y,4.0
0,10,B,24.0
0,11,O,24.0
0,11,Y,4.0
0,11,B,24.0
0,12,O,24.0
0,12,Y,4.0
0,12,B,24.0
0,13,O,24.0
0,13,Y,4.0
0,13,B,24.0
0,14,O,24.0
0,14,Y,4.0
0,14,B,24.0
0,15,O,24.0
0,15,Y,4.0
0,15,B,24.0
0,16,O,24.0
0,16,Y,4.0
0,16,B,24.0
0,17,O,24.0
0,17,Y,4.0
0,17,B,24.0
0,18,O,24.0
0,18,Y,4.0
0,18,B,24.0
0,19,O,24.0
0,19,Y,4.0
0,19,B,24.0
0,20,O,24.0
0,20,Y,4.0
0,20,B,24.0
0,21,O,24.0
0,21,Y,4.0
0,21,B,24.0
0,22,O,24.0
0,22,Y,4.0
0,22,B,24.0
0,23,O,24.0
0,23,Y,4.0
0,23,B,24.0
0,24,O,24.0
0,24,Y,4.0
0,24,B,24.0
0,25,O,24.0
0,25,Y,4.0
0,25,B,24.0
0,26,O,24.0
0,26,Y,4.0
0,26,B,24.0
0,27,O,24.0
0,27,Y,4.0
0,27,B,24.0
0,28,O,24.0
0,28,Y,4.0
0,28,B,24.0
0,29,O,24.0
0,29,Y,4.0
0,29,B,24.0
0,30,O,24.0
0,30,Y,4.0
0,30,B,24.0
0,31,O,24.0
0,31,Y,4.0
0,31,B,24.0
0,32,O,24.0
0,32,Y,4.0
0,32,B,24.0
0,33,O,24.0
0,33,Y,4.0
0,33,B,24.0
0,34,O,24.0
0,34,Y,4.0
0,34,B,24.0
0,35,O,24.0
0,35,Y,4.0
