pop,t,freq_O,freq_Y,freq_B,vizinhos_mean,vizinhos_mean_O,vizinhos_mean_Y,vizinhos_mean_B
0,-1,0.3264,0.3331,0.3405,0.0,0.0,0.0,0.0
0,1,0.317,0.3437,0.3393,74.964,72.90851735015772,76.28745999418098,75.54376657824933
0,2,0.3478,0.3214,0.3308,103.428,103.30074755606671,103.87056627255755,103.13180169286578
0,3,0.3229,0.339,0.3381,113.736,113.16196965004646,114.33628318584071,113.68234250221828
0,4,0.3429,0.3077,0.3494,117.648,117.48031496062993,117.58206044848879,117.87063537492845
0,5,0.355,0.3032,0.3418,119.112,118.95211267605634,119.32717678100263,119.08718548858982
0,6,0.3793,0.3231,0.2976,119.676,119.62035328236225,119.74001857010214,119.6774193548387
0,7,0.3436,0.3468,0.3096,119.844,119.86030267753202,119.7923875432526,119.88372093023256
0,8,0.3046,0.3946,0.3008,119.928,119.92120814182535,119.90876837303598,119.96010638297872
0,9,0.2968,0.3359,0.3673,120.0,120.0,120.0,120.0
0,10,0.3318,0.2951,0.3731,120.0,120.0,120.0,120.0
0,11,0.377,0.293,0.33,120.0,120.0,120.0,120.0
0,12,0.3875,0.311,0.3015,120.0,120.0,120.0,120.0
0,13,0.3644,0.3453,0.2903,120.0,120.0,120.0,120.0
0,14,0.3758,0.3661,0.2581,120.0,120.0,120.0,120.0
0,15,0.3122,0.4425,0.2453,120.0,120.0,120.0,120.0
0,16,0.254,0.4151,0.3309,120.0,120.0,120.0,120.0
0,17,0.2635,0.3279,0.4086,120.0,120.0,120.0,120.0
0,18,0.3515,0.2835,0.365,120.0,120.0,120.0,120.0
0,19,0.3858,0.3053,0.3089,120.0,120.0,120.0,120.0
0,20,0.354,0.3707,0.2753,120.0,120.0,120.0,120.0
0,21,0.3324,0.3502,0.3174,120.0,120.0,120.0,120.0
0,22,0.3017,0.354,0.3443,120.0,120.0,120.0,120.0
0,23,0.339,0.2764,0.3846,120.0,120.0,120.0,120.0
0,24,0.3794,0.277,0.3436,120.0,120.0,120.0,120.0
0,25,0.3847,0.3174,0.2979,120.0,120.0,120.0,120.0
0,26,0.3307,0.3547,0.3146,120.0,120.0,120.0,120.0
0,27,0.2919,0.3754,0.3327,120.0,120.0,120.0,120.0
0,28,0.2993,0.3433,0.3574,120.0,120.0,120.0,120.0
0,29,0.3104,0.313,0.3766,120.0,120.0,120.0,120.0
0,30,0.3742,0.265,0.3608,120.0,120.0,120.0,120.0
0,31,0.3933,0.3224,0.2843,120.0,120.0,120.0,120.0
0,32,0.3622,0.3737,0.2641,120.0,120.0,120.0,120.0
0,33,0.3388,0.3608,0.3004,120.0,120.0,120.0,120.0
0,34,0.2757,0.364,0.3603,120.0,120.0,120.0,120.0
0,35,0.3047,0.3442,0.3511,120.0,120.0,120.0,120.0
0,36,0.3596,0.306,0.3344,120.0,120.0,120.0,120.0
0,37,0.4077,0.2548,0.3375,120.0,120.0,120.0,120.0
0,38,0.3667,0.3303,0.303,120.0,120.0,120.0,120.0
0,39,0.3396,0.3758,0.2846,120.0,120.0,120.0,120.0
0,40,0.2999,0.3466,0.3535,120.0,120.0,120.0,120.0
0,41,0.2951,0.3039,0.401,120.0,120.0,120.0,120.0
0,42,0.3593,0.2733,0.3674,120.0,120.0,120.0,120.0
0,43,0.3828,0.3046,0.3126,120.0,120.0,120.0,120.0
0,44,0.3776,0.3393,0.2831,120.0,120.0,120.0,120.0
0,45,0.3364,0.3661,0.2975,120.0,120.0,120.0,120.0
0,46,0.2534,0.3841,0.3625,120.0,120.0,120.0,120.0
0,47,0.283,0.3217,0.3953,120.0,120.0,120.0,120.0
0,48,0.3578,0.2575,0.3847,120.0,120.0,120.0,120.0
0,49,0.3779,0.2761,0.346,120.0,120.0,120.0,120.0
0,50,0.3693,0.325,0.3057,120.0,120.0,120.0,120.0
0,51,0.358,0.338,0.304,120.0,120.0,120.0,120.0
0,52,0.3401,0.3281,0.3318,120.0,120.0,120.0,120.0
0,53,0.3241,0.3557,0.3202,120.0,120.0,120.0,120.0
0,54,0.3025,0.3546,0.3429,120.0,120.0,120.0,120.0
0,55,0.2991,0.3449,0.356,120.0,120.0,120.0,120.0
0,56,0.3077,0.3235,0.3688,120.0,120.0,120.0,120.0
0,57,0.3541,0.3119,0.334,120.0,120.0,120.0,120.0
0,58,0.3593,0.3322,0.3085,120.0,120.0,120.0,120.0
0,59,0.3212,0.3589,0.3199,120.0,120.0,120.0,120.0
0,60,0.3231,0.3589,0.318,120.0,120.0,120.0,120.0
