t,pop,estrategia,frequencia
0,0,O,0.4959
0,0,Y,0.2512
0,0,B,0.2529
0,1,O,0.507
0,1,Y,0.2475
0,1,B,0.2455
0,2,O,0.5047
0,2,Y,0.2498
0,2,B,0.2455
0,3,O,0.5028
0,3,Y,0.2502
0,3,B,0.247
0,4,O,0.4988
0,4,Y,0.2463
0,4,B,0.2549
0,5,O,0.5013
0,5,Y,0.2549
0,5,B,0.2438
0,6,O,0.4996
0,6,Y,0.2503
0,6,B,0.2501
0,7,O,0.4983
0,7,Y,0.2553
0,7,B,0.2464
0,8,O,0.5009
0,8,Y,0.2446
0,8,B,0.2545
0,9,O,0.5012
0,9,Y,0.2441
0,9,B,0.2547
0,10,O,0.4992
0,10,Y,0.2523
0,10,B,0.2485
0,11,O,0.4977
0,11,Y,0.2479
0,11,B,0.2544
0,12,O,0.4946
0,12,Y,0.2505
0,12,B,0.2549
0,13,O,0.4941
0,13,Y,0.2575
0,13,B,0.2484
0,14,O,0.5056
0,14,Y,0.2455
0,14,B,0.2489
0,15,O,0.4964
0,15,Y,0.2435
0,15,B,0.2601
0,16,O,0.5123
0,16,Y,0.2443
0,16,B,0.2434
0,17,O,0.4979
0,17,Y,0.253
0,17,B,0.2491
0,18,O,0.5012
0,18,Y,0.2539
0,18,B,0.2449
0,19,O,0.4971
0,19,Y,0.2562
0,19,B,0.2467
0,20,O,0.4951
0,20,Y,0.2534
0,20,B,0.2515
0,21,O,0.489
0,21,Y,0.2532
0,21,B,0.2578
0,22,O,0.488
0,22,Y,0.2606
0,22,B,0.2514
0,23,O,0.5009
0,23,Y,0.2517
0,23,B,0.2474
0,24,O,0.4969
0,24,Y,0.2504
0,24,B,0.2527
0,25,O,0.4954
0,25,Y,0.2505
0,25,B,0.2541
0,26,O,0.495
0,26,Y,0.2548
0,26,B,0.2502
0,27,O,0.4976
0,27,Y,0.2518
0,27,B,0.2506
0,28,O,0.4951
0,28,Y,0.2562
0,28,B,0.2487
0,29,O,0.4979
0,29,Y,0.2434
0,29,B,0.2587
0,30,O,0.4962
0,30,Y,0.2549
0,30,B,0.2489
0,31,O,0.4912
0,31,Y,0.256
0,31,B,0.2528
0,32,O,0.5106
0,32,Y,0.252
0,32,B,0.2374
0,33,O,0.5031
0,33,Y,0.2518
0,33,B,0.2451
0,34,O,0.4922
0,34,Y,0.2591
0,34,B,0.2487
0,35,O,0.4909
0,35,Y,0.2508
0,35,B,0.2583
0,36,O,0.5025
0,36,Y,0.2512
0,36,B,0.2463
0,37,O,0.4974
0,37,Y,0.248
0,37,B,0.2546
0,38,O,0.4999
0,38,Y,0.2498
0,38,B,0.2503
0,39,O,0.4974
0,39,Y,0.2493
0,39,B,0.2533
0,40,O,0.4979
0,40,Y,0.251
0,40,B,0.2511
0,41,O,0.4991
0,41,Y,0.2559
0,41,B,0.245
0,42,O,0.5119
0,42,Y,0.2392
0,42,B,0.2489
0,43,O,0.5071
0,43,Y,0.2467
0,43,B,0.2462
0,44,O,0.4977
0,44,Y,0.2514
0,44,B,0.2509
0,45,O,0.5038
0,45,Y,0.2481
0,45,B,0.2481
0,46,O,0.4941
0,46,Y,0.2478
0,46,B,0.2581
0,47,O,0.504
0,47,Y,0.2383
0,47,B,0.2577
0,48,O,0.4978
0,48,Y,0.251
0,48,B,0.2512
0,49,O,0.4956
0,49,Y,0.2538
0,49,B,0.2506
0,50,O,0.5031
0,50,Y,0.2515
0,50,B,0.2454
0,51,O,0.5002
0,51,Y,0.2497
0,51,B,0.2501
0,52,O,0.5099
0,52,Y,0.2504
0,52,B,0.2397
0,53,O,0.5006
0,53,Y,0.2546
0,53,B,0.2448
0,54,O,0.4932
0,54,Y,0.2495
0,54,B,0.2573
0,55,O,0.495
0,55,Y,0.2529
0,55,B,0.2521
0,56,O,0.493
0,56,Y,0.2504
0,56,B,0.2566
0,57,O,0.5013
0,57,Y,0.2504
0,57,B,0.2483
0,58,O,0.4995
0,58,Y,0.2505
0,58,B,0.25
0,59,O,0.5048
0,59,Y,0.2457
0,59,B,0.2495
0,60,O,0.5013
0,60,Y,0.2445
0,60,B,0.2542
0,61,O,0.4954
0,61,Y,0.2533
0,61,B,0.2513
0,62,O,0.5022
0,62,Y,0.2539
0,62,B,0.2439
0,63,O,0.5032
0,63,Y,0.2442
0,63,B,0.2526
0,64,O,0.5061
0,64,Y,0.2471
0,64,B,0.2468
0,65,O,0.4992
0,65,Y,0.259
0,65,B,0.2418
0,66,O,0.4938
0,66,Y,0.2522
0,66,B,0.254
0,67,O,0.5111
0,67,Y,0.2399
0,67,B,0.249
0,68,O,0.4992
0,68,Y,0.2478
0,68,B,0.253
0,69,O,0.4932
0,69,Y,0.2437
0,69,B,0.2631
0,70,O,0.4968
0,70,Y,0.2519
0,70,B,0.2513
0,71,O,0.5085
0,71,Y,0.2499
0,71,B,0.2416
0,72,O,0.5064
0,72,Y,0.2443
0,72,B,0.2493
0,73,O,0.5011
0,73,Y,0.2492
0,73,B,0.2497
0,74,O,0.4904
0,74,Y,0.2584
0,74,B,0.2512
0,75,O,0.5039
0,75,Y,0.2413
0,75,B,0.2548
0,76,O,0.5003
0,76,Y,0.252
0,76,B,0.2477
0,77,O,0.5003
0,77,Y,0.2473
0,77,B,0.2524
0,78,O,0.4954
0,78,Y,0.2552
0,78,B,0.2494
0,79,O,0.5025
0,79,Y,0.2492
0,79,B,0.2483
0,80,O,0.5179
0,80,Y,0.2466
0,80,B,0.2355
0,81,O,0.5046
0,81,Y,0.2504
0,81,B,0.245
0,82,O,0.5092
0,82,Y,0.2455
0,82,B,0.2453
0,83,O,0.5027
0,83,Y,0.2431
0,83,B,0.2542
0,84,O,0.4924
0,84,Y,0.2523
0,84,B,0.2553
0,85,O,0.5006
0,85,Y,0.2513
0,85,B,0.2481
0,86,O,0.4993
0,86,Y,0.2501
0,86,B,0.2506
0,87,O,0.5066
0,87,Y,0.2489
0,87,B,0.2445
0,88,O,0.4915
0,88,Y,0.2517
0,88,B,0.2568
0,89,O,0.4989
0,89,Y,0.2499
0,89,B,0.2512
0,90,O,0.5017
0,90,Y,0.2496
0,90,B,0.2487
0,91,O,0.4979
0,91,Y,0.2521
0,91,B,0.25
0,92,O,0.4952
0,92,Y,0.249
0,92,B,0.2558
0,93,O,0.5085
0,93,Y,0.2492
0,93,B,0.2423
0,94,O,0.5022
0,94,Y,0.2422
0,94,B,0.2556
0,95,O,0.5084
0,95,Y,0.2413
0,95,B,0.2503
0,96,O,0.5013
0,96,Y,0.2405
0,96,B,0.2582
0,97,O,0.4933
0,97,Y,0.2513
0,97,B,0.2554
0,98,O,0.4908
0,98,Y,0.2509
0,98,B,0.2583
0,99,O,0.5003
0,99,Y,0.2499
0,99,B,0.2498
1,0,O,0.2637
1,0,Y,0.6567
1,0,B,0.0796
1,1,O,0.2633
1,1,Y,0.6654
1,1,B,0.0713
1,2,O,0.2681
1,2,Y,0.66
1,2,B,0.0719
1,3,O,0.2672
1,3,Y,0.655
1,3,B,0.0778
1,4,O,0.2811
1,4,Y,0.651
1,4,B,0.0679
1,5,O,0.2456
1,5,Y,0.68
1,5,B,0.0744
1,6,O,0.2684
1,6,Y,0.6663
1,6,B,0.0653
1,7,O,0.2493
1,7,Y,0.6661
1,7,B,0.0846
1,8,O,0.2819
1,8,Y,0.6577
1,8,B,0.0604
1,9,O,0.2767
1,9,Y,0.6538
1,9,B,0.0695
1,10,O,0.268
1,10,Y,0.6673
1,10,B,0.0647
1,11,O,0.2763
1,11,Y,0.6351
1,11,B,0.0886
1,12,O,0.2776
1,12,Y,0.636
1,12,B,0.0864
1,13,O,0.2594
1,13,Y,0.6583
1,13,B,0.0823
1,14,O,0.2773
1,14,Y,0.6589
1,14,B,0.0638
1,15,O,0.2861
1,15,Y,0.6491
1,15,B,0.0648
1,16,O,0.2556
1,16,Y,0.6759
1,16,B,0.0685
1,17,O,0.2731
1,17,Y,0.6641
1,17,B,0.0628
1,18,O,0.2476
1,18,Y,0.6751
1,18,B,0.0773
1,19,O,0.254
1,19,Y,0.6668
1,19,B,0.0792
1,20,O,0.2653
1,20,Y,0.664
1,20,B,0.0707
1,21,O,0.2843
1,21,Y,0.6333
1,21,B,0.0824
1,22,O,0.2555
1,22,Y,0.6597
1,22,B,0.0848
1,23,O,0.2642
1,23,Y,0.6683
1,23,B,0.0675
1,24,O,0.2874
1,24,Y,0.6404
1,24,B,0.0722
1,25,O,0.278
1,25,Y,0.6536
1,25,B,0.0684
1,26,O,0.2839
1,26,Y,0.6454
1,26,B,0.0707
1,27,O,0.2731
1,27,Y,0.6569
1,27,B,0.07
1,28,O,0.2667
1,28,Y,0.6562
1,28,B,0.0771
1,29,O,0.2906
1,29,Y,0.6404
1,29,B,0.069
1,30,O,0.2627
1,30,Y,0.6628
1,30,B,0.0745
1,31,O,0.2622
1,31,Y,0.66
1,31,B,0.0778
1,32,O,0.2497
1,32,Y,0.6808
1,32,B,0.0695
1,33,O,0.2562
1,33,Y,0.6739
1,33,B,0.0699
1,34,O,0.2625
1,34,Y,0.6673
1,34,B,0.0702
1,35,O,0.2949
1,35,Y,0.625
1,35,B,0.0801
1,36,O,0.2538
1,36,Y,0.6635
1,36,B,0.0827
1,37,O,0.2723
1,37,Y,0.6577
1,37,B,0.07
1,38,O,0.2752
1,38,Y,0.6496
1,38,B,0.0752
1,39,O,0.278
1,39,Y,0.6484
1,39,B,0.0736
1,40,O,0.2642
1,40,Y,0.6619
1,40,B,0.0739
1,41,O,0.2551
1,41,Y,0.6659
1,41,B,0.079
1,42,O,0.2786
1,42,Y,0.6617
1,42,B,0.0597
1,43,O,0.2728
1,43,Y,0.6628
1,43,B,0.0644
1,44,O,0.2751
1,44,Y,0.6521
1,44,B,0.0728
1,45,O,0.262
1,45,Y,0.6663
1,45,B,0.0717
1,46,O,0.296
1,46,Y,0.6285
1,46,B,0.0755
1,47,O,0.2787
1,47,Y,0.6528
1,47,B,0.0685
1,48,O,0.2709
1,48,Y,0.6534
1,48,B,0.0757
1,49,O,0.2764
1,49,Y,0.645
1,49,B,0.0786
1,50,O,0.2617
1,50,Y,0.6701
1,50,B,0.0682
1,51,O,0.2668
1,51,Y,0.6633
1,51,B,0.0699
1,52,O,0.2452
1,52,Y,0.6911
1,52,B,0.0637
1,53,O,0.2621
1,53,Y,0.6627
1,53,B,0.0752
1,54,O,0.2911
1,54,Y,0.6471
1,54,B,0.0618
1,55,O,0.2633
1,55,Y,0.6481
1,55,B,0.0886
1,56,O,0.2704
1,56,Y,0.6515
1,56,B,0.0781
1,57,O,0.2686
1,57,Y,0.6574
1,57,B,0.074
1,58,O,0.2669
1,58,Y,0.66
1,58,B,0.0731
1,59,O,0.2705
1,59,Y,0.6567
1,59,B,0.0728
1,60,O,0.2777
1,60,Y,0.6561
1,60,B,0.0662
1,61,O,0.2715
1,61,Y,0.6447
1,61,B,0.0838
1,62,O,0.245
1,62,Y,0.6811
1,62,B,0.0739
1,63,O,0.2718
1,63,Y,0.6563
1,63,B,0.0719
1,64,O,0.2676
1,64,Y,0.6669
1,64,B,0.0655
1,65,O,0.2396
1,65,Y,0.6922
1,65,B,0.0682
1,66,O,0.2676
1,66,Y,0.6572
1,66,B,0.0752
1,67,O,0.2724
1,67,Y,0.6649
1,67,B,0.0627
1,68,O,0.2768
1,68,Y,0.6572
1,68,B,0.066
1,69,O,0.3132
1,69,Y,0.6097
1,69,B,0.0771
1,70,O,0.2741
1,70,Y,0.6533
1,70,B,0.0726
1,71,O,0.2631
1,71,Y,0.655
1,71,B,0.0819
1,72,O,0.2708
1,72,Y,0.6673
1,72,B,0.0619
1,73,O,0.2728
1,73,Y,0.6569
1,73,B,0.0703
1,74,O,0.2511
1,74,Y,0.6572
1,74,B,0.0917
1,75,O,0.278
1,75,Y,0.6524
1,75,B,0.0696
1,76,O,0.2611
1,76,Y,0.6603
1,76,B,0.0786
1,77,O,0.2787
1,77,Y,0.6517
1,77,B,0.0696
1,78,O,0.2564
1,78,Y,0.6637
1,78,B,0.0799
1,79,O,0.2671
1,79,Y,0.6679
1,79,B,0.065
1,80,O,0.2345
1,80,Y,0.7101
1,80,B,0.0554
1,81,O,0.2664
1,81,Y,0.6611
1,81,B,0.0725
1,82,O,0.2722
1,82,Y,0.6501
1,82,B,0.0777
1,83,O,0.2948
1,83,Y,0.6416
1,83,B,0.0636
1,84,O,0.2821
1,84,Y,0.6363
1,84,B,0.0816
1,85,O,0.2688
1,85,Y,0.6543
1,85,B,0.0769
1,86,O,0.2943
1,86,Y,0.6339
1,86,B,0.0718
1,87,O,0.2546
1,87,Y,0.6719
1,87,B,0.0735
1,88,O,0.2874
1,88,Y,0.6404
1,88,B,0.0722
1,89,O,0.2669
1,89,Y,0.6565
1,89,B,0.0766
1,90,O,0.2657
1,90,Y,0.6704
1,90,B,0.0639
1,91,O,0.2672
1,91,Y,0.6734
1,91,B,0.0594
1,92,O,0.2769
1,92,Y,0.6491
1,92,B,0.074
1,93,O,0.2596
1,93,Y,0.6697
1,93,B,0.0707
1,94,O,0.2951
1,94,Y,0.6428
1,94,B,0.0621
1,95,O,0.2712
1,95,Y,0.6764
1,95,B,0.0524
1,96,O,0.2949
1,96,Y,0.6394
1,96,B,0.0657
1,97,O,0.2848
1,97,Y,0.6468
1,97,B,0.0684
1,98,O,0.2889
1,98,Y,0.636
1,98,B,0.0751
1,99,O,0.2766
1,99,Y,0.6524
1,99,B,0.071
2,0,O,0.0576
2,0,Y,0.7635
2,0,B,0.1789
2,1,O,0.0572
2,1,Y,0.79
2,1,B,0.1528
2,2,O,0.0642
2,2,Y,0.7847
2,2,B,0.1511
2,3,O,0.0708
2,3,Y,0.7652
2,3,B,0.164
2,4,O,0.062
2,4,Y,0.7793
2,4,B,0.1587
2,5,O,0.0507
2,5,Y,0.7768
2,5,B,0.1725
2,6,O,0.0617
2,6,Y,0.79
2,6,B,0.1483
2,7,O,0.0628
2,7,Y,0.7629
2,7,B,0.1743
2,8,O,0.0599
2,8,Y,0.8005
2,8,B,0.1396
2,9,O,0.061
2,9,Y,0.7805
2,9,B,0.1585
2,10,O,0.057
2,10,Y,0.7947
2,10,B,0.1483
2,11,O,0.0839
2,11,Y,0.7461
2,11,B,0.17
2,12,O,0.0809
2,12,Y,0.733
2,12,B,0.1861
2,13,O,0.0623
2,13,Y,0.7624
2,13,B,0.1753
2,14,O,0.0598
2,14,Y,0.7999
2,14,B,0.1403
2,15,O,0.0653
2,15,Y,0.7951
2,15,B,0.1396
2,16,O,0.0531
2,16,Y,0.7704
2,16,B,0.1765
2,17,O,0.0553
2,17,Y,0.7941
2,17,B,0.1506
2,18,O,0.0567
2,18,Y,0.753
2,18,B,0.1903
2,19,O,0.0536
2,19,Y,0.755
2,19,B,0.1914
2,20,O,0.0572
2,20,Y,0.7805
2,20,B,0.1623
2,21,O,0.0621
2,21,Y,0.7608
2,21,B,0.1771
2,22,O,0.0581
2,22,Y,0.7528
2,22,B,0.1891
2,23,O,0.055
2,23,Y,0.7834
2,23,B,0.1616
2,24,O,0.0705
2,24,Y,0.7543
2,24,B,0.1752
2,25,O,0.0628
2,25,Y,0.7927
2,25,B,0.1445
2,26,O,0.0766
2,26,Y,0.7825
2,26,B,0.1409
2,27,O,0.0736
2,27,Y,0.7746
2,27,B,0.1518
2,28,O,0.0567
2,28,Y,0.776
2,28,B,0.1673
2,29,O,0.0726
2,29,Y,0.783
2,29,B,0.1444
2,30,O,0.0613
2,30,Y,0.7729
2,30,B,0.1658
2,31,O,0.0671
2,31,Y,0.7661
2,31,B,0.1668
2,32,O,0.0457
2,32,Y,0.7924
2,32,B,0.1619
2,33,O,0.051
2,33,Y,0.7848
2,33,B,0.1642
2,34,O,0.0633
2,34,Y,0.7868
2,34,B,0.1499
2,35,O,0.0732
2,35,Y,0.7541
2,35,B,0.1727
2,36,O,0.0521
2,36,Y,0.7585
2,36,B,0.1894
2,37,O,0.0658
2,37,Y,0.7841
2,37,B,0.1501
2,38,O,0.0671
2,38,Y,0.7707
2,38,B,0.1622
2,39,O,0.0698
2,39,Y,0.7752
2,39,B,0.155
2,40,O,0.0701
2,40,Y,0.7765
2,40,B,0.1534
2,41,O,0.0608
2,41,Y,0.7694
2,41,B,0.1698
2,42,O,0.0629
2,42,Y,0.8037
2,42,B,0.1334
2,43,O,0.062
2,43,Y,0.8007
2,43,B,0.1373
2,44,O,0.0634
2,44,Y,0.7725
2,44,B,0.1641
2,45,O,0.0534
