pop,t,freq_O,freq_Y,freq_B,r_mean,r_O,r_Y,r_B
0,-1,0.3353,0.3258,0.3389,4.4935,4.481658216522517,4.503069367710252,4.496016524048392
0,0,0.1239,0.2574,0.6187,8.0,8.0,8.0,8.0
0,1,0.3204,0.0106,0.669,7.9999,8.0,8.0,7.9998505231689085
0,2,0.6651,0.0,0.3349,8.0,8.0,,8.0
0,3,0.8631,0.0,0.1369,8.0,8.0,,8.0
0,4,0.9677,0.0,0.0323,8.0,8.0,,8.0
0,5,1.0,0.0,0.0,8.0,8.0,,
0,6,1.0,0.0,0.0,7.9999,7.9999,,
0,7,1.0,0.0,0.0,7.9855,7.9855,,
0,8,1.0,0.0,0.0,7.9999,7.9999,,
0,9,1.0,0.0,0.0,7.9855,7.9855,,
0,10,1.0,0.0,0.0,7.9999,7.9999,,
0,11,1.0,0.0,0.0,7.9855,7.9855,,
0,12,1.0,0.0,0.0,7.9999,7.9999,,
0,13,1.0,0.0,0.0,7.9854,7.9854,,
0,14,1.0,0.0,0.0,7.9853,7.9853,,
0,15,1.0,0.0,0.0,7.9716,7.9716,,
0,16,1.0,0.0,0.0,7.9852,7.9852,,
0,17,1.0,0.0,0.0,7.9571,7.9571,,
0,18,1.0,0.0,0.0,7.9852,7.9852,,
0,19,1.0,0.0,0.0,7.9571,7.9571,,
0,20,1.0,0.0,0.0,7.9851,7.9851,,
0,21,1.0,0.0,0.0,7.9426,7.9426,,
0,22,1.0,0.0,0.0,7.9849,7.9849,,
0,23,1.0,0.0,0.0,7.9148,7.9148,,
0,24,1.0,0.0,0.0,7.9849,7.9849,,
0,25,1.0,0.0,0.0,7.9148,7.9148,,
0,26,1.0,0.0,0.0,7.9849,7.9849,,
0,27,1.0,0.0,0.0,7.9148,7.9148,,
0,28,1.0,0.0,0.0,7.9848,7.9848,,
0,29,1.0,0.0,0.0,7.9003,7.9003,,
0,30,1.0,0.0,0.0,7.9706,7.9706,,
0,31,1.0,0.0,0.0,7.9146,7.9146,,
0,32,1.0,0.0,0.0,7.9705,7.9705,,
0,33,1.0,0.0,0.0,7.9002,7.9002,,
0,34,1.0,0.0,0.0,7.9704,7.9704,,
0,35,1.0,0.0,0.0,7.9003,7.9003,,
0,36,1.0,0.0,0.0,7.9565,7.9565,,
0,37,1.0,0.0,0.0,7.9291,7.9291,,
0,38,1.0,0.0,0.0,7.9562,7.9562,,
0,39,1.0,0.0,0.0,7.929,7.929,,
0,40,1.0,0.0,0.0,7.9416,7.9416,,
0,41,1.0,0.0,0.0,7.9145,7.9145,,
0,42,1.0,0.0,0.0,7.9416,7.9416,,
0,43,1.0,0.0,0.0,7.9145,7.9145,,
0,44,1.0,0.0,0.0,7.9415,7.9415,,
0,45,1.0,0.0,0.0,7.9,7.9,,
0,46,1.0,0.0,0.0,7.9415,7.9415,,
0,47,1.0,0.0,0.0,7.8853,7.8853,,
0,48,1.0,0.0,0.0,7.9272,7.9272,,
0,49,1.0,0.0,0.0,7.886,7.886,,
